It No., Best MQ, No clusters, max clus, min clus
1,1.4958991631684737,4,15,15
2,1.6725936113552995,7,11,7
3,1.728885883401647,6,11,9
4,2.213579978748986,15,8,1
5,1.3367887410153478,3,20,20
6,1.3198228162878283,3,20,20
7,1.354972164153957,3,20,20
8,1.5454251329394544,6,10,10
9,1.820721373472251,6,16,5
10,1.4512589481522478,5,12,12
11,2.2951542052644767,12,8,2
12,1.546209701326037,5,12,12
13,1.5886557106361745,6,10,10
14,2.2246943657283564,14,6,2
15,1.8470726252538472,7,9,7
16,1.4554681509979606,4,15,15
17,1.4320266661574779,3,20,20
18,1.6197021579780224,6,18,3
19,2.151115284318565,14,10,1
20,1.5236705634410483,17,7,1
21,1.8343360917586538,8,9,4
22,1.7843594639505689,6,13,8
23,2.0292941641013766,11,10,4
24,1.3403245306651903,4,15,15
25,1.5010311115347352,19,7,1
26,1.8093539483806829,6,10,10
27,1.5482013772763468,4,15,15
28,1.8833758948448949,10,6,6
29,2.241475383163645,21,6,1
30,1.646320663283106,5,12,12
31,1.4740211437043131,4,16,14
