0: [[2, 22, 20, 19, 4, 1, 13], [14, 9, 6, 7, 10, 11], [8, 3, 16, 18, 15, 5, 12, 17], [21, 24, 23]]
1: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
2: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
3: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
4: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
5: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
6: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
7: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
8: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
9: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
10: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
11: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
12: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
13: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
14: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
15: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
16: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
17: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
18: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
19: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
20: [[2, 22, 20, 19, 4, 13, 1], [14, 9, 6, 7, 10, 11], [8, 3, 5, 16, 18, 15, 12, 17], [21, 24, 23]]
