0: [[2, 10, 5, 7], [3, 8, 1], [12, 13, 11, 9], [14, 16, 15, 6, 4], [17, 19, 18, 20]]
1: [[2, 10, 5, 7], [3, 8, 1], [12, 13, 11, 9], [14, 16, 15, 6, 4], [17, 19, 18, 20]]
2: [[2, 10], [5, 7], [3, 8, 1], [12, 13, 11, 9], [14, 4, 6, 15, 16], [17, 19, 18, 20]]
3: [[2, 10, 5, 4], [3, 8, 1], [12, 13, 11], [14, 7, 6, 9], [16, 17, 15], [18, 19, 20]]
4: [[2, 10, 5, 7], [3, 1, 9], [12, 13, 8, 11], [14, 16, 6, 4], [17, 18, 19, 20, 15]]
5: [[2, 10, 5, 7], [3, 8, 1], [12, 13, 11, 9, 6, 4], [14, 17, 19, 18, 15, 20, 16]]
6: [[2, 10, 7, 5], [3, 8, 1], [12, 13, 11], [15, 14, 17], [6, 16], [4, 9, 18, 20, 19]]
7: [[2, 10, 5, 7], [3, 8, 1, 12], [13, 11, 9], [14, 4, 6, 15], [17, 18, 19, 16, 20]]
8: [[2, 10, 5, 7], [3, 8, 1], [12, 13, 11, 14], [6, 4, 9, 16, 20], [17, 15, 19, 18]]
9: [[2, 10, 5, 6], [3, 8, 1], [12, 13, 11, 7], [14, 16, 15, 4], [9, 17], [19, 18, 20]]
10: [[2, 10, 5], [3, 8, 1], [12, 13, 11, 4], [14, 7, 6], [20, 16, 15, 9], [17, 19, 18]]
11: [[2, 10, 5], [7, 3, 8, 1], [12, 13, 11, 9], [6], [4, 14, 17, 19, 15, 16, 20, 18]]
12: [[2, 10, 5], [3, 8, 1], [12, 13, 11, 14], [16, 6, 15, 4, 9], [7, 17], [19, 18, 20]]
13: [[2, 10, 5, 4], [3, 8, 1], [12, 13, 11], [9, 6, 7, 15], [16, 18, 17, 14], [20, 19]]
14: [[2, 10, 5], [7, 3, 8, 1], [12, 13, 11, 9], [14, 4, 15, 17, 19, 6], [16, 18, 20]]
15: [[2, 10, 5, 7, 3], [1, 12, 13, 9], [11, 14, 4], [16, 8, 6, 15], [17, 18, 19, 20]]
16: [[2], [5, 7, 11, 9], [1, 13, 3, 8], [10, 14, 6], [17, 12, 18, 4], [19, 16, 20, 15]]
17: [[2, 10, 5], [3, 8], [1, 12, 13, 11], [14, 6, 4, 9], [7, 16, 17, 18, 15], [20, 19]]
18: [[2, 10, 5], [7, 3, 8, 1], [12, 13, 11, 9], [14, 20], [4, 6, 15], [16, 19, 17, 18]]
19: [[2, 10, 5, 7], [3, 8, 1], [12, 13, 11, 14], [4, 9, 15], [6, 20, 17], [18, 19, 16]]
20: [[2, 10, 5, 4], [3, 8, 1], [12, 13, 11], [18, 7], [14, 17, 19, 15, 9], [16, 20, 6]]
21: [[2, 10, 5, 7], [3, 8, 1, 12], [13, 11, 4, 14], [20, 9, 6], [15, 17, 19, 18, 16]]
22: [[2, 10, 7, 5], [3, 8, 1, 12, 9, 11, 13, 15, 14, 6, 17], [4, 16, 19, 18, 20]]
23: [[2, 10, 5], [6, 3, 8, 1], [12, 13, 11], [4, 14, 7, 15], [19, 18, 9, 17], [16, 20]]
24: [[2, 10, 5], [3, 9], [4, 1, 12, 13, 11, 14, 16, 6, 7, 8, 15], [17, 19, 18, 20]]
25: [[2, 10, 5], [7, 3, 8], [1, 12, 13], [11, 14, 4, 9], [17, 20, 18], [19, 16, 6, 15]]
26: [[2, 10, 7], [4, 3, 8, 1], [12, 13, 11], [5, 14, 6], [15, 17], [16, 9, 20, 18, 19]]
27: [[2, 10], [5, 7, 1], [4, 13, 15, 9], [3, 14, 6], [12, 8, 16, 11, 17], [19, 18, 20]]
28: [[2, 10, 5, 3, 7], [8, 1], [12, 11], [9, 13, 14, 16, 6, 4, 15, 17, 20, 19, 18]]
29: [[2, 10, 5], [3, 8, 4], [1, 12, 13], [11, 14, 6], [7, 16, 19, 17, 15], [20, 18, 9]]
30: [[2, 10, 7, 3], [9, 5, 1], [11, 12, 13, 14], [18, 15, 6, 4], [8, 19, 16, 17, 20]]
31: [[2, 10, 5, 4], [3], [8, 1, 12, 13, 11, 17, 14, 6, 9], [15, 7, 18, 19, 16, 20]]
32: [[2, 10, 7], [11, 1, 8, 9], [3, 5, 14, 4], [6, 13, 19, 18], [16, 17, 20, 12, 15]]
33: [[2, 10, 7], [4, 3, 8], [1, 12, 13], [11, 14, 16, 15], [5, 6, 17], [19, 18, 20, 9]]
34: [[2], [5, 7], [3, 9, 4, 13, 8, 12, 10, 14], [6, 17, 1, 18, 16, 19, 20, 11, 15]]
35: [[2, 10, 5], [3, 1, 4, 9], [12, 8, 11, 6], [14, 13, 16, 18, 15, 17, 19, 7, 20]]
36: [[2], [10, 1, 3], [5, 13, 4, 7, 8], [15, 18, 6], [12, 11, 9, 14, 16], [17, 20, 19]]
37: [[2, 10], [7, 6, 3, 8], [1, 12, 13], [11, 17], [14, 5, 4, 15, 16, 9, 19, 18, 20]]
38: [[2, 10], [7, 9], [3, 1, 5], [4, 19, 14], [11, 6], [12, 13, 8, 16], [18, 17, 20, 15]]
39: [[2, 10, 7], [4, 3, 8], [1, 12, 13], [11, 15], [14, 5, 6, 18, 9, 17, 16, 19], [20]]
40: [[2, 10, 5], [7, 1], [8, 3, 12, 13], [11, 14], [6, 20, 4], [9, 15, 17, 18], [16, 19]]
41: [[2, 10], [7, 5, 3, 8, 1, 12, 13, 11, 6, 14, 9, 4, 15, 20, 17, 16, 19], [18]]
