0: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
1: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
2: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
3: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
4: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
5: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
6: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
7: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
8: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
9: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
10: [[11, 6, 8, 9, 2], [4, 10, 1], [12, 13, 7], [5, 3]]
11: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
12: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
13: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
14: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
15: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
16: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
17: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
18: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
19: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
20: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
21: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
22: [[11, 6, 8], [9, 4, 10, 1, 2], [12, 13, 7], [5, 3]]
23: [[11, 6, 8], [9, 4], [10, 1, 12, 13, 2, 7], [5, 3]]
24: [[11, 6, 8], [9, 4], [10, 1, 12, 13, 2, 7], [5, 3]]
25: [[11, 6, 8], [9, 4], [10, 1, 12, 13, 2, 7], [5, 3]]
26: [[11, 6, 8], [9, 4], [10, 1, 12, 13, 2, 7], [5, 3]]
27: [[11, 6, 8, 9, 10, 4], [1, 12], [13, 2, 7], [5, 3]]
