0: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
1: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
2: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
3: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
4: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
5: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
6: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
7: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
8: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
9: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
10: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
11: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
12: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
13: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
14: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
15: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
16: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
17: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
18: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
19: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
20: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
21: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
22: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
23: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
24: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
25: [[3, 1, 13, 5, 2], [10, 4, 6, 9], [7, 8, 12, 11]]
