0: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 12], [15, 11, 17, 13], [20, 23, 18, 16, 25, 10, 22, 14], [24, 28, 29], [26, 21, 27]]
1: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 12], [15, 11, 14, 13], [28, 20, 18, 16, 17, 10, 23, 24], [22, 25, 27], [29, 21, 26]]
2: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 12], [11, 15, 10, 13], [14, 17, 18, 25], [16, 23, 22, 28], [24, 21, 29, 27, 26, 20]]
3: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 12], [15, 11, 10, 13], [14, 23, 18, 17], [25, 16, 22, 20], [24, 21, 29], [27, 26, 28]]
4: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 12], [10, 11, 13, 14, 15], [16, 17], [21, 18, 20, 22, 23, 25], [24, 27, 29, 26, 28]]
5: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 14], [11, 10, 12, 13, 21, 28, 15, 29, 16, 18], [23, 17, 20, 22, 25], [26, 24, 27]]
6: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 13, 11, 26, 12, 15, 29, 10, 16, 17, 24, 21, 14, 18], [22, 23, 25, 20, 27, 28]]
7: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4], [13, 15, 11], [12, 29, 10, 23, 16, 17, 25, 14, 18, 20, 24, 22, 21, 27, 26, 28]]
8: [[9, 1, 6, 7, 19, 12, 22], [2, 5], [3, 8], [4], [11, 24, 13, 15, 10], [16, 20, 14], [18, 17, 23], [29, 21, 25, 28, 26, 27]]
9: [[9, 1], [6, 7, 19], [2, 5, 3], [8, 4, 14, 11, 10, 12], [13, 15, 25, 16], [21, 17, 18, 22, 20], [28, 23, 24], [27, 26, 29]]
10: [[9, 1, 6, 7], [19, 2, 5, 3], [8, 4, 12, 11, 10, 17, 13], [15, 20, 18, 16, 23, 14, 22], [26, 24, 29, 25, 28, 21, 27]]
11: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 12], [11, 24, 15, 10, 13, 14], [16, 20, 17, 18, 21, 22, 29, 23, 25, 28, 27, 26]]
12: [[9, 1, 6, 7, 19, 2], [5, 3, 8, 4, 12, 15, 11], [10, 24, 13], [17, 16, 21], [29, 22, 18, 23, 28, 14, 20, 27, 26, 25]]
13: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 15, 12, 11], [10, 29, 14, 21, 13, 25], [27, 16, 18, 20, 17, 23, 22, 24, 26, 28]]
14: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 11, 10], [14, 13, 16, 18, 12, 26, 24, 17, 22, 23, 15, 20, 21], [29, 25, 27, 28]]
15: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 10, 14, 11], [13, 12, 15, 18, 20, 16, 28, 21, 17, 22, 24, 23, 29, 25, 26, 27]]
16: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 11], [12, 13, 14, 18, 21], [15, 10, 16], [25, 20, 23, 17, 24, 22, 28, 26, 27, 29]]
17: [[9, 1, 6], [7, 19, 2, 5], [3, 8, 4, 12, 15], [11, 10, 13, 14, 23], [18, 21, 17, 22, 25, 20], [24, 16, 29], [27, 26, 28]]
18: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4, 15], [10, 11, 12, 13], [14, 21, 16, 17], [29, 23, 22, 20], [24, 18, 27], [25, 26, 28]]
19: [[9, 1, 6, 7, 19, 2, 5], [3, 8, 4], [13, 15, 10], [28, 11, 12, 29], [14, 17, 20, 24, 18, 21, 16], [22, 25, 23, 26, 27]]
