0: [[18, 15, 9, 8, 5, 17], [3, 6, 7, 2, 16, 11, 13, 1, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
1: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
2: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
3: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
4: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
5: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
6: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
7: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13, 12], [4, 10, 14, 19, 20, 22], [21, 23, 24]]
8: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
9: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
10: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
11: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
12: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
13: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
14: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
15: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
16: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
17: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
18: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
19: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
20: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
21: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
22: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
23: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
24: [[18, 15, 9, 8, 5, 17], [3, 1, 6, 7, 2, 16, 11, 13], [4, 10, 14, 19, 20, 22, 12], [21, 23, 24]]
