0: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6, 15], [18, 19]]
1: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
2: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
3: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
4: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
5: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
6: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
7: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
8: [[7, 10, 8], [17, 12, 11], [1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
9: [[7, 10, 8], [17, 12, 11], [1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
10: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 19, 18, 6, 15]]
11: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 18, 19, 6, 15]]
12: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
13: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
14: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
15: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
16: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
17: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
18: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
19: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
20: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
21: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
22: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
23: [[7, 10, 8], [17, 12, 11], [1, 3], [5, 2, 20, 9], [13, 14, 4], [16, 6, 15], [18, 19]]
24: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 14, 16, 4, 6], [18, 19, 15]]
25: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 20, 13, 9, 4], [14, 16, 15, 18, 19, 6]]
26: [[7, 10, 8], [17, 12], [11, 1, 3], [5, 2, 20, 13, 9, 4], [14, 16, 18, 19, 15, 6]]
27: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 14, 16, 4, 6, 15], [18, 19]]
28: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 14, 16, 4, 6, 15], [18, 19]]
29: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 4], [14, 16, 18, 19, 6, 15]]
30: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 9], [20, 13, 4], [14, 16, 6], [19, 18, 15]]
31: [[7, 10], [8, 17, 12], [11, 1, 3], [5, 2, 9], [20, 13, 14, 16, 15, 18, 19, 4, 6]]
32: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 9, 20], [13, 4], [14, 16, 6], [15, 19, 18]]
33: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 9, 20], [13, 4], [14, 16, 6], [15, 18, 19]]
34: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 20, 9], [13, 14, 4], [16, 6, 15], [18, 19]]
35: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 20, 9], [13, 14, 4], [16, 6], [18, 19, 15]]
36: [[7, 10], [8, 17], [12, 11, 1], [3, 5, 2, 9], [20, 13, 4], [14, 16, 6], [18, 19, 15]]
37: [[7, 10], [8, 17, 12, 11], [1, 3, 5], [2, 9, 20], [13, 4, 14], [16, 6, 15], [19, 18]]
38: [[7, 10, 6], [8, 17, 12, 11], [1, 3, 5], [2, 20, 9], [13, 14, 4], [16, 15], [19, 18]]
39: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 20, 13, 4, 14, 16, 6, 15, 18, 19, 9]]
40: [[7, 10, 8], [17, 12, 11], [1, 3, 5], [2, 20, 9], [13, 14, 16, 15, 19, 18, 4, 6]]
41: [[7, 10, 8], [17, 12, 11], [1, 3, 5, 2, 9, 20, 13, 4, 14, 16, 6, 18, 19, 15]]
