It No., Best MQ, No clusters, max clus, min clus
1,1.8365852861391638,5,5,4
2,1.8119962575103425,6,4,4
3,1.364861096806445,4,6,6
4,1.7855171930661027,6,4,4
5,1.7779132791327914,6,4,4
6,1.4635616853810083,5,5,4
7,1.76104708808088,6,4,4
8,1.8514899670560045,6,4,4
9,1.596619365890381,5,5,4
10,1.8077392989551735,6,4,4
11,1.774321118247294,6,4,4
12,1.659110704110704,8,3,3
13,1.5847152795428658,8,3,3
14,1.822777222777223,5,5,4
15,1.4110045467462347,10,3,2
16,1.7070113340451263,6,4,4
17,1.7602896783931266,9,3,2
18,1.807446879582586,8,3,3
19,1.828535914372615,6,4,4
20,1.2591431556948798,10,3,2
21,1.9954279697757955,10,3,2
22,1.9950719901487164,9,3,2
23,1.4151244871858752,4,6,6
24,1.842738355888261,8,3,3
25,1.7866588227604012,6,4,4
26,1.7204265115469912,6,4,4
27,1.8030077279138603,6,4,4
28,1.622274468826193,8,3,3
29,1.279003597816151,5,5,4
30,1.2610759493670887,3,8,8
31,1.9254566008417098,6,4,4
