0: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
1: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
2: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
3: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
4: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 16, 18, 12, 22], [20, 29, 25], [27, 21, 26]]
5: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 22, 18], [20, 29, 25], [27, 21, 26]]
6: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
7: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
8: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 16, 18, 12, 22], [20, 29, 25], [27, 21, 26]]
9: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 22, 18], [20, 29, 25], [27, 21, 26]]
10: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 22, 18], [20, 29, 25], [27, 21, 26]]
11: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
12: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
13: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
14: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
15: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
16: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
17: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
18: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
19: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
20: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
21: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
22: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
23: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
24: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 16, 18, 12, 22], [20, 29, 25], [27, 21, 26]]
25: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
26: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 18, 16, 12, 22], [20, 29, 25], [27, 21, 26]]
27: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 18, 16, 12, 22], [20, 29, 25], [27, 21, 26]]
28: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
29: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
30: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
31: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
32: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
33: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
34: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
35: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
36: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
37: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
38: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
39: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
40: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
41: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
42: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
43: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
44: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
45: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
46: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
47: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
48: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
49: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
50: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
51: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
52: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
53: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 18, 22], [20, 29, 25], [27, 21, 26]]
54: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 16, 22], [20, 29, 25], [27, 21, 26]]
55: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 20, 22], [18, 29, 25], [27, 21, 26]]
56: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 22, 16, 20, 12], [18, 29, 25], [27, 21, 26]]
57: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 20, 22], [18, 29, 25], [27, 21, 26]]
58: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 18, 20, 22], [16, 29, 25], [27, 21, 26]]
59: [[17, 8], [4, 23], [2, 1, 19], [3, 6, 5, 10], [7, 15, 11, 13, 14], [28, 24], [9, 12, 16, 20, 18], [22, 29, 25], [27, 21, 26]]
