0: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
1: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
2: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
3: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
4: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
5: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
6: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
7: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
8: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
9: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
10: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
11: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
12: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
13: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
14: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
15: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
16: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
17: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
18: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
19: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
20: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
21: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
22: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
23: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
24: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
25: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
26: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
27: [[5, 1, 3], [8, 9, 11, 6], [10, 4], [13, 12, 7, 2]]
