0: [[5, 1, 2, 3, 10, 14, 6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
1: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
2: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17, 19, 20, 22], [23, 21, 24]]
3: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
4: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
5: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
6: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
7: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
8: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
9: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
10: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
11: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
12: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
13: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
14: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
15: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
16: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
17: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
18: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
19: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
20: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
21: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
22: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
23: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
24: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
25: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
26: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
27: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
28: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
29: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
30: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
31: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
32: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
33: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
34: [[5, 1, 2, 3], [10, 14, 6], [4, 13, 9], [8, 15, 7, 12, 11], [18, 16, 17], [19, 20, 22], [23, 21, 24]]
35: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22, 23, 21, 24]]
36: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22, 23, 21, 24]]
37: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17], [19, 20, 22, 23, 21, 24]]
38: [[5, 1, 2], [3, 10, 14], [6, 4, 13, 9, 8, 15, 7, 12, 11, 18, 16, 17], [19, 20, 22, 23, 21, 24]]
39: [[5, 1, 2, 3, 10, 14, 6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17, 19, 20, 22, 23, 21, 24]]
40: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17, 19, 20, 22, 23, 21, 24]]
41: [[5, 1, 2], [3, 10, 14], [6, 4, 13], [9, 8, 15], [7, 12, 11], [18, 16, 17, 19, 20, 22, 23, 21, 24]]
