0: [[27, 35, 7, 1, 2], [3, 4, 12], [20, 19], [15, 11, 6, 10], [9, 24], [8, 16, 5, 18], [13, 14, 17, 29, 21], [23, 26, 22, 28], [31, 25], [30, 44], [36, 33], [38, 34, 32, 37], [39, 43, 45, 40, 47, 46], [42, 41, 50], [53], [52, 49, 48, 57, 54], [56, 51, 58], [60, 55, 59]]
1: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 18, 16, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 59, 57, 52, 56]]
2: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 16, 17, 18, 21, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 52, 59, 58, 57]]
3: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 15, 10, 23, 17, 21, 16, 18, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 60, 58, 57, 52, 59]]
4: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 15, 10, 16, 17, 23, 18, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 56, 52, 58, 57, 60, 59]]
5: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 23, 18, 21, 15, 16, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 57, 56, 58, 59]]
6: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 18, 21, 23, 16, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 56, 57, 59]]
7: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 18, 16, 23, 21, 17, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 57, 52, 56, 59, 58]]
8: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 16, 23, 18, 17, 21, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 59, 57, 56]]
9: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 10, 6, 15, 17, 23, 16, 21, 18, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
10: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 17, 21, 16, 18, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 56, 57, 59, 58, 52]]
11: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 16, 17, 21, 18, 23, 28, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 52, 56, 58, 59, 57]]
12: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 21, 15, 28, 18, 16, 23, 17, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 58, 52, 57, 56, 59]]
13: [[27, 35, 7, 2, 11, 12, 1, 3, 20, 19, 14, 4, 9, 24], [8, 26, 13, 31, 5, 22, 6, 10, 15, 18, 16, 23, 28, 17, 21, 30], [25, 29, 40, 36, 33, 38, 34, 32, 37, 39, 43, 45, 41, 46, 42, 44], [47, 50, 53, 48, 51, 54, 49, 55, 60, 59, 52, 58, 57, 56]]
