0: [[22], [1, 19], [2, 10], [5, 4, 13, 6], [7, 11], [14, 12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
1: [[22], [1, 19], [2, 10], [5, 4, 13, 6], [7, 11, 14], [12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
2: [[6, 9, 3, 22], [1, 19, 2, 10], [5, 4], [13, 7, 11, 14, 12, 16], [8, 15, 18], [17, 20], [21, 23, 24]]
3: [[22], [1, 19], [2, 10], [5, 4], [13, 7, 11, 14, 6], [12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
4: [[22, 1, 19], [2, 10, 3], [5, 4, 13, 6], [7, 11], [14, 12, 16, 8], [15, 18], [17, 20, 9], [21, 23, 24]]
5: [[22, 1], [19, 2, 10], [5, 4], [13, 7, 11, 6], [14, 12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
6: [[22, 1], [19, 2, 10], [5, 4], [13, 7, 11, 6], [14, 12], [16, 8, 15, 18, 3], [17, 20, 9], [21, 23, 24]]
7: [[22], [1, 19], [2, 10], [5, 4], [13, 7, 11, 6], [14, 12], [16, 8, 15, 3], [18, 17, 20, 9], [21, 23, 24]]
8: [[22], [19], [2, 10, 5], [4, 13, 6], [7, 11], [14, 12], [16, 8, 3], [15, 18], [17, 20, 9, 1], [21, 23, 24]]
9: [[22], [1, 19], [2, 10], [5, 4], [13, 7, 6], [11, 14, 12], [16, 8, 15, 3], [18, 17, 20, 9], [21, 23, 24]]
10: [[22], [1, 19, 3], [2, 10], [5, 4], [13, 7, 6], [11, 14, 12, 16], [8, 15, 9], [18, 17, 20], [21, 23, 24]]
11: [[22, 1, 19], [2, 10], [5, 4], [13, 7, 6], [11, 14, 12], [16, 8, 15, 3], [18, 17, 20, 9], [21, 23, 24]]
12: [[22, 1, 19], [2, 10], [5, 4, 13, 7, 11, 6], [14, 12], [16, 8, 15, 3], [18, 17, 20, 9], [21, 23, 24]]
13: [[22], [1, 19], [2, 10], [5, 4, 13, 6], [7, 11, 14], [12, 16, 8, 3], [15, 18], [17, 20, 21, 9], [23, 24]]
14: [[22], [1, 19], [2, 10], [5, 4, 13, 6], [7, 11, 14], [12, 16, 8, 3], [15, 18], [17, 20, 21, 9], [23, 24]]
15: [[22], [1, 19], [2, 10], [5, 4], [13, 7, 6], [11, 14], [12, 16, 8, 15, 3], [18, 17, 20, 9], [21, 23, 24]]
16: [[22], [1, 19], [2, 10, 5], [4, 13, 7, 6], [11, 14], [12, 16, 3], [8, 15, 18], [17, 20, 9], [21, 23, 24]]
17: [[22, 1], [19, 2, 10], [5, 4, 13, 7, 6], [11, 14, 12], [16, 8, 15, 3], [18, 17, 20, 9], [21, 23, 24]]
18: [[22], [1, 19, 2, 10], [5, 4, 13, 6], [7, 11], [14, 12], [16, 8, 9, 3], [15, 18, 17], [20, 21, 23, 24]]
19: [[9], [22], [19, 1], [2, 10], [5, 4, 13, 6], [7, 11, 14], [12, 16, 3], [8, 15, 18, 17], [20, 21], [23, 24]]
20: [[22], [19], [2, 10, 1], [5, 4], [13, 7, 6], [11, 14], [12, 16, 3], [8, 15, 18], [17, 20, 21, 9], [23, 24]]
21: [[22], [1, 19], [2, 10, 3], [5, 4], [13, 7, 6], [11, 14], [12, 16, 8, 15, 18], [17, 20, 21, 9], [23, 24]]
22: [[22], [19], [2, 10], [5, 4], [13, 7, 11, 6], [14, 12], [16, 8, 9, 3], [15, 18, 17], [20, 21, 1], [23, 24]]
23: [[22], [1, 19], [2, 10], [5, 4], [13, 7, 11, 6], [14, 12, 16, 3], [8, 15], [18, 17, 9], [20, 21, 23, 24]]
24: [[22, 6, 3], [1, 19, 9], [2, 10, 5], [4, 13], [7, 11], [14, 12], [16, 8], [15, 18], [17, 20, 21], [23, 24]]
25: [[22], [1, 19], [2, 10], [5, 4], [13, 7, 6], [11, 14], [12, 16, 8, 3], [15, 18], [17, 20, 21, 9], [23, 24]]
