0: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5, 13], [14, 10, 12], [23, 16, 27, 20], [17, 18, 19, 24], [21, 26, 28, 25], [30, 33, 31, 34, 32], [35, 36]]
1: [[1, 2, 3], [4, 9], [37, 6, 15, 29], [22, 7, 11], [8, 5], [13, 14, 10], [12, 23, 16, 27, 20], [17, 18, 19, 24], [21, 26, 28, 25], [30, 33, 31, 34], [32, 35, 36]]
2: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24, 21], [26, 28, 25], [30, 33, 31, 34, 32], [35, 36]]
3: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24, 21], [26, 28, 25], [30, 33, 31, 34, 32], [35, 36]]
4: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24, 21], [26, 28, 25], [30, 33, 31, 34, 32], [35, 36]]
5: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5, 13], [14, 10, 12], [23, 16], [27, 20], [17, 18, 19, 24], [21, 26, 28, 25], [30, 33, 31], [34, 32, 35, 36]]
6: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24, 21], [26, 28, 25], [30, 33, 31, 34], [32, 35, 36]]
7: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24, 21], [26, 28, 25], [30, 33, 31, 34], [32, 35, 36]]
8: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28, 25], [30, 33, 31, 34], [32, 35, 36]]
9: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33], [31, 34], [32, 35, 36]]
10: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10, 12], [23, 16, 27, 20], [17, 18, 19, 24], [21, 26, 28], [25, 30, 33, 31], [34, 32, 35, 36]]
11: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28, 25, 30], [33, 31, 34], [32, 35, 36]]
12: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14], [10, 12, 23], [16, 27, 20], [17, 18], [19, 24, 21], [26, 28, 25], [30, 33], [31, 34, 32], [35, 36]]
13: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30, 33], [31, 34], [32, 35, 36]]
14: [[1, 2, 3], [4, 9, 37], [6, 15, 29], [22, 7, 11], [8, 5, 13], [14, 10, 12], [23, 16, 27], [20, 17, 18], [19, 24, 21], [26, 28, 25], [30, 33], [31, 34], [32, 35, 36]]
15: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20], [17, 18, 19, 24], [21, 26, 28], [25, 30, 33, 31, 34], [32, 35, 36]]
16: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7, 11], [8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30, 33], [31, 34, 32], [35, 36]]
17: [[1, 2, 3], [4, 9], [37, 6, 15], [29, 22, 7], [11, 8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17, 18, 19], [24, 21, 26], [28, 25], [30, 33, 31], [34, 32, 35, 36]]
18: [[1, 2], [3, 4, 9], [37, 6, 15], [29, 22, 7, 11], [8, 5], [13, 14, 10], [12, 23, 16], [27, 20, 17], [18, 19, 24], [21, 26, 28], [25, 30, 33], [31, 34, 32], [35, 36]]
