0: [[2], [6, 3], [7, 11], [5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18], [16, 17, 19, 22, 4], [21, 23, 24]]
1: [[2], [6, 3], [7, 11], [8, 9], [14, 10, 20], [12, 5, 13], [15, 18], [16, 17, 19, 22, 1, 4], [21, 23, 24]]
2: [[2], [6, 3], [7, 11], [5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18, 16], [17, 19, 22, 4], [21, 23, 24]]
3: [[2], [6, 3, 1], [7, 11], [5, 8], [9, 14, 10, 20], [12, 13, 15], [18, 16, 17], [19, 22, 4], [21, 23, 24]]
4: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 20, 1], [15, 18], [16, 17], [19, 22, 4], [21, 23, 24]]
5: [[2], [6, 3], [7, 11], [5, 8], [9, 14, 10], [12, 13, 20, 1], [15, 18, 16], [17, 19, 22, 4], [21, 23, 24]]
6: [[2], [6, 3, 1], [7, 11, 5], [8, 9], [14, 10, 12, 20], [13, 15], [18, 16, 17], [19, 22, 4], [21, 23, 24]]
7: [[2], [6, 3, 1], [7, 11], [5, 8, 9], [14, 10, 12, 20], [13, 15], [18, 16], [17, 19, 22, 4], [21, 23, 24]]
8: [[2], [6, 3, 7, 1], [11, 5], [8, 9], [14, 10, 20], [12, 13, 15], [18, 16, 17], [19, 22, 4], [21, 23, 24]]
9: [[2], [6, 3, 7], [11, 5], [8, 9, 14], [10, 12, 13, 20, 1], [15, 18], [16, 17], [19, 22, 4], [21, 23, 24]]
10: [[2], [6, 3, 7], [11, 5, 8], [9, 14, 10], [12, 13, 20, 1], [15, 18, 16], [17, 19, 22, 4], [21, 23, 24]]
11: [[2], [6, 3, 4], [7, 11], [5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18], [16, 17, 19], [22, 21], [23, 24]]
12: [[2, 4], [6, 3], [7, 11], [5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18, 16], [17, 19, 22, 21], [23, 24]]
13: [[2], [6, 3, 7], [11, 5, 8], [9, 14, 10, 20], [12, 13, 15], [18, 16], [17, 19, 22, 4, 1], [21, 23, 24]]
14: [[2], [6, 3], [7, 11, 5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18], [16, 17, 19, 22, 21, 4], [23, 24]]
15: [[2], [6, 3], [7, 11, 5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18], [16, 17, 19, 22, 21, 4], [23, 24]]
16: [[2], [6, 3, 7, 1], [11, 5], [8, 9], [14, 10, 12, 20], [13, 15], [18, 16, 17], [19, 22, 4], [21, 23, 24]]
17: [[2], [6, 3], [7, 11], [5, 8], [9, 14], [10, 12, 4, 20, 1], [13, 15], [18, 16, 17, 19, 22], [21, 23, 24]]
18: [[4, 2, 20, 1], [6, 3], [7, 11], [5, 8, 9, 14], [10, 12], [13, 15, 18, 16], [17, 19], [22, 21, 23, 24]]
19: [[2], [3], [7, 11, 5, 6], [8, 9, 20, 1], [14, 10], [12, 13], [15, 18], [16, 17, 19], [22, 21, 4], [23, 24]]
20: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 20, 1], [15, 18], [16, 17], [19, 22, 21, 4], [23, 24]]
21: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 20, 1], [15, 18], [16, 17], [19, 22, 21, 4], [23, 24]]
22: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 20, 1], [15, 18], [16, 17, 19], [22, 21, 4], [23, 24]]
23: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 20, 1], [15, 18, 16], [17, 19], [22, 21, 4], [23, 24]]
24: [[2], [3], [7, 11], [5, 8, 9, 14], [10, 12, 20], [13, 15, 6], [18, 16], [17, 19, 1], [22, 21, 4], [23, 24]]
25: [[2], [6, 3, 7, 11], [5, 8], [9, 14, 10, 4], [12, 13, 20, 1], [15, 18], [16, 17, 19], [22, 21], [23, 24]]
26: [[2], [3, 7, 6], [11, 5], [8, 9, 20, 1], [14, 10], [12, 13], [15, 18], [16, 17, 19], [22, 21, 4], [23, 24]]
27: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 15, 20, 1], [18, 16], [17, 19], [22, 21, 4], [23, 24]]
28: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 13, 15, 20, 1], [18, 16], [17, 19], [22, 21, 4], [23, 24]]
29: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 20], [13, 15, 1], [18, 16, 17], [19, 22, 21, 4], [23, 24]]
30: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 20], [13, 15, 4, 1], [18, 16], [17, 19, 22, 21], [23, 24]]
31: [[2], [3], [7, 11], [5, 8], [9, 14], [10, 12, 20], [13, 15, 6], [18, 16], [17, 19, 1], [22, 21, 4], [23, 24]]
32: [[2], [3], [7, 11], [5, 8], [9, 14, 6], [10, 12, 20], [13, 15, 1], [18, 16, 17, 19], [22, 21, 4], [23, 24]]
33: [[2, 4], [6], [3, 7], [11, 5], [8, 9], [14, 10, 12, 20], [13, 15, 18], [16, 17, 19, 1], [22, 21, 23, 24]]
34: [[2], [6, 3, 7, 11, 5, 8], [9, 14], [10, 12, 4, 20, 1], [13, 15], [18, 16, 17, 19], [22, 21], [23, 24]]
35: [[4, 2, 20, 1], [6, 3], [7, 11], [5, 8, 9], [14, 10], [12, 13], [15, 18, 16, 17, 19, 22, 21, 23, 24]]
36: [[2, 4], [6, 3, 7, 11], [5, 8, 9], [14, 10], [12, 13, 20, 1], [15, 18], [16, 17, 19, 22, 21, 23, 24]]
