0: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 14], [17, 9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
1: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 14], [19, 9, 16, 17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
2: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 14], [19, 9, 16, 17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
3: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 14, 13], [19, 9, 16, 17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
4: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 14], [17, 9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
5: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 9, 17, 14, 16], [19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
6: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [13, 14, 15, 17, 9, 18], [19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
7: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8], [11, 12, 15, 14, 13, 17], [9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
8: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8], [11, 12, 15, 13, 14], [17, 9, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
9: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8], [11, 12, 15, 14, 13], [17, 9, 19, 16, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
10: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8], [11, 12, 15, 13, 14], [17, 9, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
11: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 15, 12, 11], [13, 14, 17, 9, 18], [16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
12: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 13, 14], [17, 9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
13: [[6, 24, 2, 1, 5, 7], [10, 11, 4, 8, 3, 12, 15], [14, 13, 17], [9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
14: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 14, 9, 19, 13, 16], [17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
15: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [9, 13, 14], [19, 15, 17, 16, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
16: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 9], [17, 14, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
17: [[6, 24, 2, 1, 5, 7, 10], [3, 4, 8, 11, 12], [15, 13, 9], [16, 14, 17, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
18: [[6, 24, 2, 1, 5], [7, 3, 10, 4, 8, 11, 12], [13, 14, 15, 17, 9, 16], [18, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
19: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [9, 13, 14, 17, 15, 18], [19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
20: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [13, 14, 9, 17, 15, 18], [16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
21: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 14, 9, 17, 13, 18], [19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
22: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 14, 9, 17, 13, 18], [16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
23: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 14, 9, 17, 13, 18], [16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
24: [[6, 24, 2, 1, 5, 7], [10, 3, 4], [8, 11, 12, 15, 13], [14, 18, 9, 17, 19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
25: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 15, 12], [11, 13, 9, 17, 14, 18], [19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
26: [[6, 24, 2, 1, 5], [7, 10, 3], [4, 8, 11, 15, 13, 12, 14], [17, 9, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
27: [[6, 24, 2, 1, 5], [7, 10, 3], [4, 8, 11, 12, 15, 13, 14], [17, 9, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
28: [[6, 24, 2, 1, 5], [7, 10, 3], [4, 8, 11, 12, 13, 14, 15], [17, 9, 18, 19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
29: [[6, 24, 2, 1, 5], [7, 10, 3], [4, 8, 11, 12, 15, 14, 13], [17, 9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
30: [[6, 24, 2], [1, 5, 7, 10, 3], [4, 8, 11, 12, 13, 15, 14], [17, 9, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
31: [[6, 24, 2], [1, 5, 7, 10, 3], [4, 8, 11, 12, 15, 13, 14], [17, 9, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
32: [[6, 24, 2, 1, 5, 7], [10, 3, 4, 8, 11], [15, 13, 12, 14, 17, 9, 18], [19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
33: [[6, 24, 2, 1, 5, 7], [10, 3, 4, 8, 11], [12, 13, 15, 14, 17, 9, 18], [16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
34: [[6, 24, 2], [1, 5, 7, 10, 3, 4, 8], [11, 12, 15, 13, 14, 17], [9, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
35: [[6, 24, 2, 1, 5, 7], [10, 3, 4], [8, 11, 12, 15, 13, 14, 19], [9, 18, 17, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
36: [[6, 24, 2, 1, 5, 7], [3, 4, 10], [8, 11, 15, 13, 19, 12, 14], [9, 16, 17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
37: [[6, 24, 2, 1, 5, 7], [10, 3, 4, 8, 11, 12, 15], [14, 13, 19, 9, 16], [17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
38: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11], [15, 13, 12, 14, 17, 9, 18], [19, 16, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
39: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 13, 9], [17, 14, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
40: [[6, 24, 2], [1, 5, 7, 10, 3], [4, 8, 15, 12, 11, 13, 9], [17, 14, 16, 19, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
41: [[6, 24, 2], [1, 5, 7, 10, 3], [4, 8, 11, 12, 15, 13, 9], [17, 14, 18, 16, 19, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
42: [[6, 24, 2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 14, 9], [19, 13, 16, 17, 18, 22], [20, 25], [23, 28], [27, 21, 26, 29]]
43: [[6, 24], [2, 1, 5, 7, 10], [3, 4, 8, 11, 12, 15], [14, 13, 17, 9, 16, 19, 18], [22, 20, 25], [23, 28], [27, 21, 26, 29]]
44: [[6, 24, 2], [1, 5, 7, 10, 3], [4, 8, 11, 12, 15, 13], [14, 17], [9, 16, 19, 18, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
45: [[6, 24], [2, 1], [5, 7, 10], [3, 4, 8, 11, 12, 15], [14, 13, 17, 9, 18, 16, 19], [22, 20, 25, 23, 28], [27, 21, 26, 29]]
46: [[6, 24], [2, 1], [5, 7, 10], [3, 4, 8, 15, 12, 11], [13, 14, 17, 9, 18, 19, 16], [22, 20, 25, 23, 28], [27, 21, 26, 29]]
47: [[6, 24], [2, 1], [5, 7, 10], [3, 4, 8, 11, 12, 15], [14, 13, 17, 9, 18, 19, 16], [22, 20, 25, 23, 28], [27, 21, 26, 29]]
48: [[6, 24], [2, 1], [5, 7, 10], [3, 4, 8, 11, 12, 13, 15], [14, 17, 9, 18, 19, 16], [22, 20, 25, 23, 28], [27, 21, 26, 29]]
49: [[6, 24], [2, 1, 5], [7, 10, 3, 4, 8, 11, 12], [15, 13, 9, 17, 14, 18], [16, 19, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
50: [[6, 24, 2], [1, 5, 7, 10, 3], [4, 8, 11, 12, 13, 14], [9, 17], [15, 16, 19, 18, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
51: [[6, 24], [2, 1, 5, 7, 10, 3], [4, 8, 11, 12, 15], [13, 14, 17], [9, 19, 16, 18, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
52: [[6, 24], [2, 1, 5, 7, 10, 3], [4, 8, 11, 12, 15], [14, 13, 17], [9, 18, 19, 16, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
53: [[6, 24], [2, 1], [5, 7, 10, 3, 4, 8, 11], [12, 15, 13], [14, 17, 9, 16, 19, 18], [22, 20, 25, 23, 28], [27, 21, 26, 29]]
54: [[6, 24], [2, 1], [5, 7, 10, 3, 4, 8, 11], [12, 15, 13], [9, 17, 14, 16, 19, 18], [22, 20, 25, 23, 28], [27, 21, 26, 29]]
55: [[6, 24], [2, 1, 5, 7, 10, 3], [4, 8, 11], [12, 15, 13, 9, 17], [14, 16, 19, 18, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
56: [[6, 24], [2, 1, 5], [7, 10, 3, 4, 8, 11], [12, 15, 13, 9, 19, 14, 16], [17, 18, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
57: [[6, 24], [2, 1, 5], [7, 10, 3, 4, 8], [11, 12, 15, 13, 14, 16, 9], [17, 19, 18, 22, 20, 25], [23, 28], [27, 21, 26, 29]]
58: [[6, 24], [2, 1], [5, 7, 10, 3, 4], [8, 11, 12, 15, 13, 14, 19], [9, 16, 17], [18, 22, 20, 25, 23, 28], [27, 21, 26, 29]]
59: [[6, 24], [2, 1], [5, 7, 10, 3, 4], [8, 11, 12], [15, 14, 13, 17, 9, 19, 16], [18, 22, 20, 25, 23, 28], [27, 21, 26, 29]]
