0: [[13, 12, 7, 10, 2], [3, 5, 1], [8, 9, 6, 11, 4]]
1: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
2: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
3: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
4: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
5: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
6: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
7: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
8: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
9: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
10: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
11: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
12: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
13: [[2, 13, 12, 7, 10], [3, 5, 1], [8, 9, 6, 11, 4]]
14: [[2, 13, 12, 7], [10, 3, 5, 1], [8, 9, 6, 11, 4]]
15: [[2, 13, 12, 7, 10], [3, 5], [1, 8, 9, 6, 11, 4]]
16: [[2, 13, 12, 7, 10], [3, 5], [1, 8, 9, 6, 11, 4]]
17: [[2, 13, 12, 7, 10], [3, 5], [1, 8, 9, 6, 11, 4]]
18: [[2, 13, 12, 7, 10], [3, 5, 1, 8], [9, 6, 11, 4]]
19: [[2, 13, 12, 7, 10], [3, 5, 1, 8], [9, 6, 11, 4]]
20: [[2, 13, 12, 7, 10, 3], [5, 1], [8, 9, 6, 11, 4]]
21: [[2, 13, 12, 7, 10, 3], [5, 1], [8, 9, 6, 11, 4]]
22: [[2, 13, 12, 7, 10, 3], [5, 1], [8, 9, 6, 11, 4]]
23: [[2, 13, 12, 7, 10, 3], [5, 1], [8, 9, 6, 11, 4]]
24: [[2, 13, 12, 7, 10, 3], [5, 1], [8, 9, 6, 11, 4]]
25: [[2, 13, 12, 7, 10, 3], [5, 1], [8, 9, 6, 11, 4]]
26: [[2, 13, 12, 7, 10, 3], [5, 1, 8], [9, 6, 11, 4]]
27: [[2, 13, 12, 7, 10, 3], [5, 1, 8], [9, 6, 11, 4]]
