0: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
1: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
2: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
3: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
4: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
5: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
6: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
7: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
8: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
9: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
10: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
11: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
12: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
13: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
14: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
15: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
16: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
17: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
18: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
19: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
20: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
21: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
22: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
23: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
24: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
25: [[14, 17, 10], [5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
26: [[5, 17], [19, 4, 12, 14, 10], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
27: [[5, 17], [19, 4, 12, 14, 10], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
28: [[5, 17], [19, 4, 12, 14, 10], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
29: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
30: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
31: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
32: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
33: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
34: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
35: [[14, 17, 10], [5, 19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
36: [[14, 17, 10], [5, 19, 4], [12, 13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
37: [[14, 17, 10], [5, 19, 4], [12, 13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
38: [[14, 17, 10], [5, 19, 4], [12, 13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
39: [[14, 17, 10], [5, 19, 4], [12, 13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
40: [[14, 17], [10, 5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
41: [[14, 17], [10, 5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
42: [[14, 17], [10, 5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
43: [[14, 17], [10, 5, 19, 4, 12], [13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
44: [[5, 14, 17, 10], [19, 4], [12, 13, 1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
45: [[14, 17, 10, 5], [19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
46: [[14, 17, 10, 5], [19, 4, 12, 13], [1, 9, 2, 6], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
47: [[5, 19, 4, 12, 13, 14, 17], [1, 9, 2, 6, 10], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
48: [[5, 19, 4, 12, 13, 14, 17], [1, 9, 2, 6, 10], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
49: [[5, 19, 4, 14, 17], [12, 13, 1, 9, 2, 6, 10], [18, 21], [15, 8], [7, 11], [22, 20], [3, 16], [24, 23]]
