0: [[7, 2, 10, 8, 5], [1, 3, 4, 6], [11, 13, 12, 9], [15, 14, 16], [20, 19, 17, 18]]
1: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
2: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
3: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
4: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
5: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
6: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
7: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
8: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
9: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
10: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
11: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
12: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
13: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
14: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
15: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
16: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
17: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
18: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
19: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
20: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
21: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
22: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
23: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
24: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
25: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
26: [[7, 2, 10, 8, 5, 1], [3, 6, 4], [11, 9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
27: [[7, 2, 10, 8, 5], [1, 3, 11, 6, 4], [9, 13, 12], [15, 14, 16], [20, 19, 17, 18]]
28: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13, 12], [15, 14, 16, 20], [19, 17, 18]]
29: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13], [12, 15, 14, 16], [20, 19, 17, 18]]
30: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13], [12, 15, 14, 16], [20, 19, 17, 18]]
31: [[7, 2, 10, 8, 5], [1, 3, 6], [11, 9, 13, 4], [12, 15, 14, 16], [20, 19, 17, 18]]
32: [[7, 2, 10, 8, 5, 1], [3, 11, 6, 4], [9, 13, 12], [15, 14, 16, 20], [19, 17, 18]]
33: [[7, 2, 10, 8, 5, 1], [3, 11, 6, 4], [9, 13, 12], [15, 14, 16, 20], [19, 17, 18]]
34: [[7, 2, 10, 8, 5], [1, 3, 6, 4], [11, 9, 13], [12, 15, 14], [16, 20, 19, 17, 18]]
35: [[7, 2, 10, 8, 5], [1, 3, 4], [11, 9, 13, 12, 15], [14, 16, 20, 6], [19, 17, 18]]
36: [[7, 2, 10, 8, 5], [1, 3, 4], [11, 9, 13, 12, 15], [14, 16, 20, 6], [19, 17, 18]]
37: [[7, 2, 10, 8, 5], [1, 3, 6], [11, 9, 13, 4], [12, 15, 14], [16, 20, 19, 17, 18]]
38: [[7, 2, 10, 8, 5, 1], [3, 11, 4], [9, 13, 12, 15], [14, 16, 20, 6], [19, 17, 18]]
39: [[7, 2, 10, 8], [5, 1, 3, 6], [11, 9, 13, 4], [12, 15, 14, 16], [20, 19, 17, 18]]
40: [[7, 2, 10, 8], [5, 1, 3, 6], [11, 9, 13, 12, 4], [15, 14, 16, 20], [19, 17, 18]]
41: [[7, 2, 10, 8], [5, 1, 3, 6], [11, 9, 13, 4], [12, 15, 14], [16, 20, 19, 17, 18]]
