0: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25, 26, 28], [30, 31, 23, 32, 34, 33], [35], [37]]
1: [[36, 19, 8], [17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25, 26, 28], [30, 31, 23, 32, 34, 33], [35], [37]]
2: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21, 25, 26, 28], [30, 31, 23, 32], [34, 33, 35], [37]]
3: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25, 26, 28], [30, 31, 23, 32], [34, 33, 35, 37]]
4: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13], [9, 7, 14], [12, 29, 10, 20], [27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23, 32], [34, 33, 35, 37]]
5: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21, 25, 26], [28, 30, 31, 23], [32], [34, 33, 35, 37]]
6: [[36, 19, 8], [17, 6, 1, 2], [15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25, 26, 28, 30, 31], [23, 32, 34, 33, 35, 37]]
7: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16], [22, 21, 25, 26], [28, 30, 31, 23, 32, 34, 33, 35, 37]]
8: [[36, 19, 8, 17, 6, 1], [2, 15], [3, 4, 5, 13], [9, 7], [14, 12, 29], [10, 20, 27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31], [23, 32, 34, 33, 35, 37]]
9: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13, 9, 7], [14, 12, 29, 10], [20, 27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23], [32], [34, 33], [35], [37]]
10: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13, 9, 7], [14, 12, 29, 10], [20, 27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23], [32, 34], [33, 35, 37]]
11: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13, 9, 7], [14, 12, 29, 10], [20, 27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23], [32, 34, 33], [35, 37]]
12: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13, 9, 7], [14, 12, 29, 10], [20, 27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23], [32], [34, 33, 35, 37]]
13: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25], [26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
14: [[36, 19, 8, 17], [6, 1, 2], [15], [3, 4], [5, 13], [9, 7, 14, 12, 29], [10, 20, 27], [18, 24, 11], [16, 22, 21, 25, 26, 28], [30, 31, 23, 32, 34, 33], [35, 37]]
15: [[36, 19, 8, 17], [6, 1], [2, 15], [3, 4, 5, 13, 9], [7, 14, 12], [29, 10, 20], [27], [18, 24, 11], [16, 22, 21], [25, 26, 28], [30, 31, 23, 32], [34], [33], [35, 37]]
16: [[36, 19, 8], [17, 6, 1, 2], [15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22, 21, 25, 26], [28, 30, 31, 23, 32, 34], [33, 35, 37]]
17: [[36, 19, 8], [17, 6], [1, 2], [15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21, 25, 26], [28, 30, 31, 23], [32], [34, 33, 35, 37]]
18: [[36, 19, 8], [17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27, 18, 24], [11, 16, 22], [21], [25], [26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
19: [[36, 19, 8, 17], [6, 1, 2], [15, 3], [4, 5], [13, 9, 7, 14], [12, 29], [10], [20, 27], [18, 24], [11, 16, 22], [21, 25, 26, 28], [30, 31, 23], [32, 34, 33, 35], [37]]
20: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13], [9, 7, 14, 12, 29, 10, 20, 27, 18, 24, 11, 16, 22, 21, 25], [26, 28, 30, 31, 23, 32, 34, 33, 35, 37]]
21: [[36, 19, 8], [17, 6], [1, 2], [15, 3, 4], [5, 13, 9], [7, 14], [12], [29, 10, 20, 27], [18, 24, 11, 16, 22], [21, 25, 26, 28], [30, 31, 23], [32, 34], [33, 35, 37]]
22: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13], [9, 7], [14, 12], [29, 10, 20], [27, 18, 24], [11, 16, 22], [21, 25, 26], [28, 30, 31, 23], [32, 34, 33, 35], [37]]
23: [[36, 19, 8, 17], [6, 1], [2, 15, 3, 4, 5], [13, 9, 7], [14, 12, 29], [10, 20, 27, 18, 24, 11], [16], [22], [21, 25, 26, 28], [30, 31, 23, 32, 34, 33, 35, 37]]
24: [[36, 19, 8, 17, 6, 1, 2, 15, 3, 4], [5, 13, 9], [7, 14, 12, 29], [10, 20, 27], [18, 24, 11], [16, 22, 21], [25], [26, 28, 30, 31], [23, 32, 34, 33], [35, 37]]
25: [[36, 19, 8], [17, 6, 1, 2], [15, 3, 4], [5, 13], [9, 7], [14, 12, 29, 10, 20], [27], [18, 24, 11, 16, 22, 21, 25, 26], [28, 30, 31, 23, 32, 34, 33, 35, 37]]
26: [[36, 19], [8, 17, 6, 1], [2, 15, 3, 4], [5, 13], [9, 7, 14, 12], [29, 10], [20, 27, 18], [24, 11, 16, 22], [21, 25, 26, 28, 30, 31], [23, 32, 34, 33, 35, 37]]
27: [[36, 19, 8, 17], [6, 1, 2], [15, 3, 4], [5, 13, 9, 7], [14, 12, 29], [10, 20], [27, 18, 24, 11, 16, 22], [21, 25, 26], [28, 30, 31], [23, 32, 34, 33, 35, 37]]
