0: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
1: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
2: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
3: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
4: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
5: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
6: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
7: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
8: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
9: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
10: [[12, 2], [5, 3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
11: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
12: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
13: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
14: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
15: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
16: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
17: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
18: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
19: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
20: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
21: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
22: [[12, 5, 2], [3, 1], [13, 9, 11, 7], [6, 10, 8, 4]]
23: [[12, 5, 3, 7], [1, 13, 9, 2], [11], [10, 8, 4, 6]]
24: [[12, 5, 3, 7], [1, 13, 9, 2], [11], [10, 8, 4, 6]]
25: [[12, 5, 3, 7], [1, 13, 9, 2], [11], [10, 8, 4, 6]]
26: [[12, 5, 3, 7], [1, 13, 9, 2], [11], [10, 8, 4, 6]]
27: [[12, 5, 3, 7], [1, 13, 9, 2], [11], [10, 8, 4, 6]]
