0: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 12, 8, 2]]
1: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
2: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
3: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
4: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
5: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
6: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
7: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
8: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
9: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
10: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
11: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
12: [[13, 7], [9, 10, 11, 6], [1, 3, 5, 4, 2, 12, 8]]
13: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
14: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
15: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
16: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
17: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
18: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
19: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
20: [[13, 7], [9, 10, 11], [6, 1, 3, 5, 4, 2, 12, 8]]
21: [[13, 7], [9, 10, 11, 6, 1], [3, 5, 4, 2, 12, 8]]
22: [[13, 7], [9, 10, 11, 6, 1], [3, 5, 4, 2, 12, 8]]
23: [[13, 7], [9, 10, 11, 6, 1], [3, 5, 4, 2, 12, 8]]
24: [[13, 7], [9, 10, 11, 6, 1], [3, 5, 4, 2, 12, 8]]
25: [[13, 7], [9, 10, 11, 6, 1], [3, 5, 4, 2, 12, 8]]
26: [[13, 7], [9, 10], [11, 6, 1, 3, 5, 4, 2, 12, 8]]
27: [[13, 7], [9, 10], [11, 6, 1, 3, 5, 4, 2, 12, 8]]
