0: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
1: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
2: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
3: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
4: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
5: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
6: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
7: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
8: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
9: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
10: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
11: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
12: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
13: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
14: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
15: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
16: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
17: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
18: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
19: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
20: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
21: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
22: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
23: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
24: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
25: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
26: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
27: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
28: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
29: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
30: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
31: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
32: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
33: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
34: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
35: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
36: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
37: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
38: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
39: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
40: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
41: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
42: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
43: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
44: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
45: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
46: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
47: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
48: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
49: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
50: [[19, 9, 1, 2, 7], [6, 5, 3, 4, 13, 11, 20, 8, 22, 12, 14], [17, 16, 18, 23, 28, 24, 10], [21, 27, 25, 26, 15, 29]]
