0: [[8, 9, 15, 18], [11, 16], [1, 2], [14, 4, 7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
1: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
2: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
3: [[15, 5, 18, 8, 9], [11, 16], [1, 2], [14, 4, 7, 6, 19, 10, 3], [12, 13], [20, 17], [23, 22, 21, 24]]
4: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 5], [7, 6, 19, 10, 3, 12, 13], [20, 17], [23, 22, 21, 24]]
5: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 5], [7, 6, 19, 10, 3, 12, 13], [20, 17], [23, 22, 21, 24]]
6: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 5], [7, 6, 19, 10, 3, 12, 13], [20, 17], [23, 22, 21, 24]]
7: [[8, 9, 11, 16, 15, 18], [1, 2], [14, 4, 7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
8: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 5], [7, 6], [19, 10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
9: [[8, 15, 18], [9, 11, 16, 1, 2], [14, 4, 5], [7, 6], [19, 10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
10: [[8, 9, 11, 16, 15, 18], [1, 2], [14, 4, 7, 6, 19], [10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
11: [[8, 9, 11, 16, 15, 18], [1, 2], [14, 4], [7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
12: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4], [7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
13: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4], [7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
14: [[8, 9, 15, 18], [11, 16, 1, 2, 14, 4, 7], [6, 19, 5], [10, 3], [12, 13], [20, 17], [23, 22, 21, 24]]
15: [[8, 9, 15, 18], [11, 16, 1, 2, 14, 4, 7], [6, 19, 5], [10, 3], [12, 13], [20, 17], [23, 22, 21, 24]]
16: [[8, 15, 18], [9, 11], [16, 1], [2, 14, 4, 7, 6, 19, 10, 3], [12, 13, 5], [20, 17], [23, 22, 21, 24]]
17: [[8, 9, 11, 16, 1, 2], [14, 4], [7, 6, 5], [19, 10, 3, 12, 13], [20, 17, 15, 18], [23, 22, 21, 24]]
18: [[8, 9, 11, 16, 1, 2], [14, 4], [7, 6, 5], [19, 10, 3, 12, 13], [20, 17, 15, 18], [23, 22, 21, 24]]
19: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4], [7, 6], [19, 10, 3, 12, 13], [20, 17, 5], [23, 22, 21, 24]]
20: [[18, 9, 11, 16], [1, 2], [14, 4], [7, 6, 5], [19, 10, 3, 12, 13], [20, 17, 15, 8], [23, 22, 21, 24]]
21: [[18, 9, 11, 16], [1, 2], [14, 4], [7, 6, 5], [19, 10, 3, 12, 13], [20, 17, 15, 8], [23, 22, 21, 24]]
22: [[8, 15, 18], [9, 11], [16, 1, 2, 14, 4, 7, 6], [19, 10, 3, 12, 13], [20, 17, 5], [23, 22, 21, 24]]
23: [[8, 15, 18], [9, 11], [16, 1, 2, 14, 4], [7, 6, 19, 10, 3, 12, 13], [20, 17, 5], [23, 22, 21, 24]]
24: [[8, 15, 18], [9, 11], [16, 1], [2, 14, 4, 7, 6, 19, 10], [3, 12, 13, 20, 17, 5], [23, 22, 21, 24]]
25: [[15, 5, 18, 8], [16, 1, 9], [2, 14], [4, 7, 11], [6, 19, 10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
26: [[8, 15, 18], [9, 11], [16, 1], [2, 14, 4, 7, 6, 5], [19, 10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
27: [[18, 9, 11, 16, 8], [1, 2], [14, 4, 15], [7, 6, 5], [19, 10], [3, 12, 13, 20, 17], [23, 22, 21, 24]]
28: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4], [7, 6, 5], [19, 10], [3, 12, 13, 20, 17], [23, 22, 21, 24]]
29: [[8, 15, 18], [9, 11, 16, 1, 2, 14, 4], [7, 6, 5], [19, 10], [3, 12, 13, 20, 17], [23, 22, 21, 24]]
30: [[8, 15, 18], [9, 11], [16, 1], [2, 14, 4, 5], [7, 6, 19, 10, 3, 12, 13, 20, 17], [23, 22, 21, 24]]
