It No., Best MQ, No clusters, max clus, min clus
1,2.1075280875107625,8,3,3
2,2.015369057479252,8,3,3
3,1.9457037688477852,8,3,3
4,1.966930750311119,8,4,1
5,2.0462837794834585,8,4,2
6,1.953260096877118,6,6,3
7,1.9878379857690203,8,5,2
8,1.9679107610142093,11,3,1
9,1.9009079442515975,7,6,2
10,2.021485431779549,10,4,1
11,1.9804998160053684,7,6,2
12,2.019799722749161,6,9,3
13,2.0126706094537,8,5,2
14,1.9260654902025394,6,6,3
15,2.0336291408054583,7,6,3
16,1.9907273372790615,7,4,3
17,1.9648603569363778,9,4,2
18,2.001569087251246,7,7,2
19,2.0405043466019075,9,4,1
20,2.0868554931854164,9,4,2
21,1.9966954022988506,5,10,3
22,2.033955125334436,8,3,3
23,2.135781898966483,9,3,2
24,1.8501192880241017,8,5,2
25,2.0861007997209695,5,9,3
26,2.0728008228008226,8,6,2
27,1.9295906991559164,10,3,1
28,1.9918495802216731,6,5,3
29,1.9818380037147703,6,7,3
30,2.0957800063382943,7,4,3
31,1.9203378300717928,8,4,2
