0: [[55, 35, 2, 7, 1], [27, 25], [3, 13, 5, 21, 6], [4, 12, 11, 9, 15, 8, 18, 10], [26, 14, 24, 17, 22, 23, 20, 19, 28, 30, 31, 16, 34, 29, 41, 60, 52, 32, 45, 38, 33, 39, 43, 36, 44, 42, 47, 46, 40, 37, 50, 48, 51, 54, 53], [49, 57], [56, 59, 58]]
1: [[55, 35, 2, 7, 1, 27, 25], [3, 13, 5, 21, 6], [4, 12, 11, 15, 8, 10], [14, 31, 18, 9, 16, 19, 17], [20, 22, 26, 30, 23], [24, 28], [29, 36, 32, 40, 38, 34, 45, 33, 37], [43, 39], [46, 41, 47, 42, 44, 53], [57, 49], [51, 50, 48, 58, 52, 54, 56], [59, 60]]
2: [[55, 35, 2, 7, 1, 27, 25], [3, 13, 5, 21, 6, 4], [12, 9, 8, 10], [11, 14, 31, 15, 29], [17, 18, 16, 19, 20], [24, 22, 23, 28, 26, 30], [37, 33, 40, 32, 34, 36, 39], [38, 47, 43, 42, 44, 45, 46, 41], [49, 48, 50, 57], [54, 52, 53, 51, 58, 59, 56, 60]]
3: [[55, 35, 2, 7, 1, 27, 25, 3], [13, 5, 21, 6, 4], [8, 9, 11, 10, 12, 28], [30, 18, 14, 15, 16, 17], [19, 23, 22], [31, 29, 26, 20, 24, 33, 32], [40, 36, 34, 37, 46, 47], [38, 41, 39, 42, 43], [44, 45], [48, 51, 52], [50, 53, 57, 54, 49, 58, 56, 59, 60]]
4: [[55, 35, 2, 7, 1, 27, 25, 3], [13, 5, 21, 6, 4], [8, 9, 11, 10, 12, 28], [30, 18, 14, 15, 16, 17], [19, 23, 22], [31, 29, 26, 20, 24, 33, 32], [40, 36, 34, 37, 46, 47], [38, 41, 39, 42, 43], [44, 45], [48, 51, 52], [50, 53, 57, 54, 49, 58, 56, 59, 60]]
5: [[55, 35, 2, 7, 1], [27, 25], [3, 13, 5, 21, 6], [4, 12, 14, 9, 11, 8, 30, 26, 15, 24, 16, 19, 20, 17, 18, 22, 23, 31, 28, 56, 29, 44, 33, 48, 32, 34, 39, 37, 38, 41, 40, 43, 42, 47, 45, 58, 36, 50, 10], [49, 46, 54, 53, 51, 52, 57, 59, 60]]
6: [[55, 35, 2, 7, 1, 27, 25, 3, 13, 5], [20, 6, 21, 14, 10, 8], [12, 4, 26, 9, 11, 15, 24, 17, 22, 19, 18, 16, 23, 31, 28], [29, 30, 33, 36, 48, 34, 42, 41, 46, 45, 38, 43, 37], [32, 39], [40, 44, 51, 54, 50, 47], [49, 57], [52, 58, 59, 60, 53, 56]]
7: [[55, 35, 2, 7, 1], [27], [25, 3, 13, 5, 20, 6, 21, 14, 9, 8], [4, 10, 11, 15, 12, 29], [24, 17, 16, 18, 19, 22, 23, 31, 26, 28, 30, 37, 32, 48, 34], [40, 41, 36, 45, 46, 47, 39, 33, 38, 42, 44, 43, 58], [50, 53], [49, 57, 52, 51, 54, 60], [59, 56]]
8: [[55, 35, 2, 7, 1], [27], [25, 3, 13, 5, 20, 6, 21, 14, 9, 8], [4, 10, 11, 15, 12, 29], [24, 17, 16, 18, 19, 22, 23, 31, 26, 28, 30, 37, 32, 48, 34], [40, 41, 36, 45, 46, 47, 39, 33, 38, 42, 44, 43, 58], [50, 53], [49, 57, 52, 51, 54, 60], [59, 56]]
9: [[55, 35, 2, 7, 1], [27], [25, 3, 13, 5, 20, 6, 21, 14, 9, 8], [4, 10, 11, 15, 12, 29], [24, 17, 16, 18, 19, 22, 23, 31, 26, 28, 30, 37, 32, 48, 34], [40, 41, 36, 45, 46, 47, 39, 33, 38, 42, 44, 43, 58], [50, 53], [49, 57, 52, 51, 54, 60], [59, 56]]
10: [[55, 35, 2, 7, 1], [27, 25, 3, 13, 5, 21, 6, 12, 4, 11, 9, 10, 8, 14, 15], [18, 16, 22, 23, 17, 26, 20, 30, 19], [28, 31, 24, 29, 36, 37, 40], [33, 38, 32, 39, 34, 47, 41, 42, 45, 43, 44, 50], [58, 54, 49, 57], [46, 48, 52, 51, 56, 53, 59, 60]]
