0: [[6, 16, 3, 9, 2, 13, 1, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
1: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
2: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
3: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
4: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
5: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
6: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
7: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
8: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
9: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
10: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
11: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
12: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
13: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
14: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
15: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
16: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
17: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
18: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
19: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
20: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
21: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
22: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
23: [[6, 16, 3, 1, 9, 2, 13, 4], [11, 7, 14, 10], [5, 8, 15, 17, 19, 18, 20, 12], [21, 22, 23, 24]]
