0: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
1: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
2: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
3: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
4: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
5: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
6: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
7: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
8: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
9: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
10: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
11: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
12: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
13: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
14: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
15: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
16: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
17: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
18: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
19: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
20: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
21: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
22: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
23: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
24: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
25: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
26: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
27: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
28: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
29: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
30: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
31: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
32: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
33: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
34: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
35: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
36: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
37: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
38: [[16, 9, 3, 22, 11, 4, 8], [7, 17, 13, 25, 18, 20, 12, 14], [6, 1, 2, 5, 24, 19, 10], [28, 29, 26, 27, 15, 21, 23]]
