0: [[60], [56], [9], [15, 7, 47, 6, 10], [42, 53], [40, 32, 55, 17], [20, 19, 24, 12], [38, 44], [5, 23, 18], [22, 28], [52], [37, 26, 45, 29], [35, 57, 46, 2], [49], [59, 43], [41], [3, 30, 31, 51], [16, 54], [39], [14, 13, 58, 21], [36, 50], [48, 27, 11], [33, 34], [8, 4, 1, 25]]
1: [[60], [56], [9], [15, 7, 47, 6, 10], [42, 53], [40, 32, 55, 17], [20, 19, 24, 12], [38, 44], [5, 23, 18], [22, 28], [52], [37, 26, 45, 29], [35, 57, 46, 2], [49], [59, 43], [41], [3, 30, 31, 51], [16, 54], [39], [14, 13, 58, 21], [36, 50], [48, 27, 11], [33, 34], [8, 4, 1, 25]]
2: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 10, 13, 31, 23, 16, 18, 15, 17, 25, 21, 28], [22, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
3: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 31, 15, 21, 13, 17, 16, 28, 23, 18, 22], [29, 26, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
4: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 28, 13, 15, 31, 16, 18, 21, 17, 22, 23], [25, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
5: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 18, 13, 31, 23, 28, 6, 10, 21, 15, 16, 17], [25, 26, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
6: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 26, 10, 31, 13, 15, 17, 6, 16, 23, 25, 21, 18], [22, 28, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
7: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 6, 13, 18, 26, 16, 15, 23, 17, 21, 28], [25, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
8: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 6, 10, 13, 21, 15, 17, 16, 18, 26, 23, 22, 28], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
9: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 10, 6, 28, 23, 13, 16, 15, 21, 17, 18, 26], [25, 29, 31, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
10: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 22, 16, 6, 18, 13, 15, 26, 17, 21, 28, 23], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
11: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 10, 6, 26, 15, 23, 13, 18, 22, 17, 16, 28, 21], [29, 31, 25, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
12: [[35, 19, 27, 33, 20, 7, 2, 1, 11, 14, 3, 4, 12, 5, 30, 24], [8, 9, 22, 6, 15, 13, 21, 16, 10, 17, 28, 26, 18, 23], [25, 31, 29, 40, 34, 32, 37, 38, 36, 39, 42, 45, 43, 46, 41, 44], [47, 49, 48, 58, 55, 51, 50, 52, 54, 53, 59, 57, 56, 60]]
