0: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
1: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
2: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
3: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
4: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
5: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
6: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
7: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
8: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
9: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
10: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
11: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
12: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
13: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9], [11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
14: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
15: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
16: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
17: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16, 17, 19, 18, 20]]
18: [[10, 6], [1, 3], [5, 2], [7, 8, 13, 9], [11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
19: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16, 17, 19, 18, 20]]
20: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16, 17, 19, 18, 20]]
21: [[10, 6], [1, 3, 5, 2], [7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
22: [[10, 6], [1, 3], [5, 2, 7], [8, 13, 9, 11], [12, 15, 4, 14], [16, 17, 19, 18, 20]]
23: [[10, 6], [1, 3, 5], [2, 7], [8, 13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
24: [[10, 6, 1, 3], [5, 2, 7, 8, 13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
25: [[10, 6, 1], [3, 5], [2, 7, 8], [13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
26: [[10, 6], [1, 3, 5], [2, 7], [8, 13], [9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
27: [[10, 6, 1], [3, 5, 2, 7], [8, 13, 9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
28: [[10, 6], [1, 3], [5, 2, 7], [8, 13, 9, 11], [12, 15, 4, 14], [16, 17, 19, 18], [20]]
29: [[10, 6], [1, 3], [5, 2, 7, 8], [13, 9, 11, 12, 15, 4, 14, 16, 17, 19, 18, 20]]
30: [[10, 6, 1, 3], [5, 2, 7, 8, 13, 9, 11, 12], [15, 4, 14, 16, 17, 19, 18, 20]]
31: [[10, 6, 1], [3, 5], [2, 7, 8, 13], [9, 11, 12], [15, 4, 14, 16], [17, 19, 18, 20]]
32: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9, 11, 12, 15, 4, 14, 16, 17, 19, 18, 20]]
33: [[10, 6], [1, 3, 5], [2, 7], [8, 13, 9, 11], [12, 15, 4, 14], [16, 17, 19, 18, 20]]
34: [[10, 6], [1, 3, 5], [2, 7], [8, 13], [9, 11, 12], [15, 4, 14], [16, 17], [19, 18, 20]]
35: [[10, 6], [1, 3, 5, 2], [7, 8, 13, 9], [11, 12, 15, 4, 14, 16, 17, 19, 18, 20]]
36: [[10, 6, 1, 3], [5, 2, 7, 8], [13, 9], [11, 12, 15, 4], [14, 16, 17, 19], [18, 20]]
37: [[10, 6, 1], [3, 5, 2, 7], [8, 13, 9, 11], [12, 15, 4, 14, 16, 17, 19, 18, 20]]
38: [[10, 6], [1, 3, 5, 2], [7, 8, 13, 9], [11, 12, 15, 4], [14, 16, 17, 19, 18, 20]]
39: [[10, 6], [1, 3, 5, 2], [7, 8, 13, 9], [11, 12, 15, 4], [14, 16, 17, 19, 18, 20]]
