0: [[11, 6, 9], [4, 10], [1, 3, 2, 5], [7, 8, 12, 13]]
1: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
2: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
3: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
4: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
5: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
6: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
7: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
8: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12, 13]]
9: [[11, 6, 9], [4, 10, 1, 3], [2, 5, 7, 8, 12, 13]]
10: [[11, 6, 9], [4, 10, 1, 3], [2, 5, 7, 8, 12, 13]]
11: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8, 12], [13]]
12: [[11, 6, 9, 4], [10, 1, 3, 2, 5], [7, 8, 12, 13]]
13: [[11, 6, 9, 4], [10, 1, 3, 2, 5], [7, 8, 12, 13]]
14: [[11, 6], [9, 4, 10], [1, 3, 2, 5], [7, 8, 12, 13]]
15: [[11, 6, 9], [4, 10, 1], [3, 2, 5], [7, 8], [12, 13]]
16: [[11, 6, 9], [4, 10], [1, 3, 2], [5, 7, 8, 12, 13]]
17: [[11, 6, 9], [4, 10, 1], [3, 2], [5, 7, 8, 12, 13]]
18: [[11, 6, 9], [4, 10, 1], [3, 2], [5, 7, 8, 12, 13]]
19: [[11, 6, 9], [4, 10], [1, 3, 2], [5, 7, 8, 12], [13]]
20: [[11, 6, 9], [4, 10, 1], [3, 2, 5, 7], [8, 12, 13]]
21: [[11, 6, 9], [4, 10, 1], [3, 2, 5, 7], [8, 12, 13]]
22: [[11, 6, 9], [4, 10, 1], [3, 2, 5, 7], [8, 12, 13]]
23: [[11, 6, 9], [4, 10, 1], [3, 2, 5, 7], [8, 12, 13]]
24: [[11, 6, 9], [4, 10, 1], [3, 2, 5, 7], [8, 12], [13]]
25: [[11, 6, 9], [4, 10, 1], [3, 2], [5, 7, 8], [12, 13]]
