0: [[29, 3], [22, 1, 7, 2], [4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20, 19, 23], [17, 21, 27, 24], [25, 26, 28], [30, 31, 32, 34, 33], [35, 36, 37]]
1: [[29, 3], [22, 1, 7], [2, 4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32, 34], [33, 35, 36, 37]]
2: [[29, 3, 22], [1, 7, 2], [4, 9], [5, 8, 6, 10, 18, 14, 13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33], [35, 36, 37]]
3: [[29, 3, 22], [1, 7], [2, 4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
4: [[29, 3], [22, 1, 7], [2, 4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
5: [[29, 3], [22, 1, 7], [2, 4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
6: [[29, 3], [22, 1, 7], [2, 4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
7: [[29, 3, 22], [1, 7, 2], [4, 9], [5, 8, 6], [10, 18, 14, 13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
8: [[29, 3, 22], [1, 7, 2], [4, 9], [5, 8, 6], [10, 18, 14, 13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
9: [[29, 3], [22, 1], [7, 2], [4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
10: [[29, 3], [22, 1], [7, 2], [4, 9], [5, 8, 6], [10, 18, 14], [13, 15, 11], [12, 16, 20], [19, 23, 17], [21, 27, 24], [25, 26, 28], [30, 31, 32], [34, 33, 35], [36, 37]]
