0: [[2, 12, 10], [5, 3], [4, 1], [9, 6, 11, 13, 7, 8]]
1: [[8, 12, 2, 7], [10, 5, 3, 4, 1], [9, 6, 11], [13]]
2: [[2, 12], [10, 5, 3, 4, 1], [9, 6, 11, 13, 7, 8]]
3: [[2, 12], [10, 5, 3, 4, 1], [9, 6, 11, 13, 7, 8]]
4: [[2, 12], [10, 5, 3, 4, 1], [9, 6, 11, 13, 7, 8]]
5: [[12, 8], [10, 5, 2], [3, 4, 1], [9, 6, 11], [13, 7]]
6: [[12], [10, 5, 2], [3, 4, 1, 9], [6, 11, 8], [13, 7]]
7: [[2, 12, 10, 5, 3], [4, 1], [9, 6], [11, 13, 7, 8]]
8: [[7, 8, 2, 12, 10], [5, 3, 4, 1], [9, 6, 11, 13]]
9: [[2, 12], [10, 5, 3], [4, 1], [9, 6, 11, 13, 7, 8]]
10: [[2, 12], [10, 5, 3, 4], [1], [9, 6, 11, 13, 7, 8]]
11: [[12, 10, 5, 2], [3, 4], [1, 9], [6, 11, 8], [13, 7]]
12: [[2, 12], [10, 5, 3, 4, 1, 9], [6, 8], [11, 13, 7]]
13: [[2, 12], [10, 5, 3, 4, 1, 9], [6, 8], [11, 13, 7]]
14: [[2, 12, 7], [10, 5, 3, 4], [1, 9, 6, 11, 8], [13]]
15: [[2, 12], [10, 5, 3, 4], [1, 9, 6, 11, 13, 7, 8]]
16: [[2, 12], [10, 5, 3, 4], [1, 9, 6, 11, 13, 7, 8]]
17: [[8, 2], [12, 10], [5, 3], [4, 1, 9, 6], [11, 13, 7]]
18: [[7, 8], [12], [10, 4], [5, 3, 1, 9, 6, 11, 13, 2]]
19: [[7, 8], [2, 12, 10, 5, 3], [4, 1, 9, 6, 11, 13]]
20: [[8, 12, 7, 2], [10, 5, 3], [4, 1, 9, 6], [11, 13]]
21: [[7, 8], [2, 12, 10, 5, 3, 4, 1, 9, 6, 11], [13]]
22: [[8, 2], [12, 10, 5, 3], [4, 1, 9], [6, 11], [13, 7]]
23: [[12, 8], [10, 5, 2], [3, 4], [1, 9, 6, 11], [13, 7]]
24: [[12, 8], [10, 5, 2], [3, 4], [1, 9, 6, 11], [13, 7]]
25: [[8, 2], [12, 10], [5, 3, 4], [1, 9, 6, 11], [13, 7]]
26: [[7, 8, 12, 2], [10, 5], [4, 1, 9, 3], [6, 11, 13]]
27: [[8, 2], [12, 10], [5, 3, 4, 1, 9], [6, 11, 13, 7]]
