0: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
1: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
2: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
3: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
4: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
5: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
6: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
7: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
8: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
9: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
10: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
11: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
12: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
13: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
14: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
15: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
16: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
17: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
18: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
19: [[1, 6, 2, 3, 4, 5, 13, 9, 14, 10], [15, 8, 7, 11, 12, 19, 18, 16, 17, 22, 20], [21, 23, 24]]
