0: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
1: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
2: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
3: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
4: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
5: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
6: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
7: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
8: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
9: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
10: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
11: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
12: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
13: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
14: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
15: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
16: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
17: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
18: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
19: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
20: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
21: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
22: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
23: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
24: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
25: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
26: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
27: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
28: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
29: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
30: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
31: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
32: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
33: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
34: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
35: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
36: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
37: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
38: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
39: [[14, 6, 4], [2, 5, 10, 9, 7], [1, 3, 8, 11], [12, 13, 15, 16], [18, 20, 17, 19]]
