0: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 15, 10], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
1: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
2: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
3: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
4: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
5: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
6: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
7: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
8: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
9: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
10: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
11: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
12: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
13: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
14: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
15: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
16: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
17: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
18: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
19: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
20: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
21: [[6, 5], [19, 1, 2], [7, 13, 9, 14], [4, 8, 12], [11, 3], [17, 16, 10, 15], [23, 20, 25, 22], [18, 29, 24, 28], [21, 26, 27]]
