0: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
1: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
2: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
3: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
4: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
5: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
6: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
7: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
8: [[13, 3, 4], [1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
9: [[13, 3, 4], [1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
10: [[13, 3, 4], [1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
11: [[13, 3, 4], [1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
12: [[13, 4], [3, 1], [8, 2, 10, 7], [5, 11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
13: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 12, 9], [14, 6, 15, 16], [17, 19, 18, 20]]
14: [[13, 4], [3, 1], [8, 2], [10, 7, 5], [11, 12, 9], [14, 6], [15, 16, 17], [19, 18, 20]]
15: [[13, 4], [3, 1], [8, 2, 10, 7], [5, 11, 9], [12, 14, 15], [16, 6], [17, 19, 18, 20]]
16: [[13, 4], [3, 1], [8, 2, 10, 7], [5, 11, 9], [12, 14, 15], [16, 6], [17, 19, 18, 20]]
17: [[13, 3, 4], [1, 8, 2], [10, 7, 5], [11, 12, 14, 9], [16, 6, 15], [17, 19, 18, 20]]
18: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 9], [12, 14, 15], [16, 6], [17, 19, 18, 20]]
19: [[13, 3, 4], [1, 8], [2, 10, 7, 5], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
20: [[13, 4, 3], [1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 6], [15, 16, 17], [19, 18, 20]]
21: [[13, 4], [3, 1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 6], [16, 17, 19, 15], [18, 20]]
22: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 12, 9], [14, 6, 15], [16, 17, 19, 18, 20]]
23: [[13, 3, 4], [1, 8, 2], [10, 7, 5], [11, 12, 9], [14, 6], [16, 17, 19, 15], [18, 20]]
24: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 14, 9], [15, 16, 17, 19, 18, 20, 6]]
25: [[13, 4], [3, 1, 8], [2, 10, 7, 5], [11, 12, 14, 9], [15, 16, 17, 19, 18, 20, 6]]
26: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 12], [9, 14, 6], [15, 16], [17, 19, 18, 20]]
27: [[13, 4], [3, 1], [8, 2, 10], [7, 5, 11], [12, 14, 9], [16, 6, 15], [17, 19, 18, 20]]
28: [[13, 3, 9, 4], [1, 8, 2], [10, 7, 5, 11], [12, 14, 15], [16, 6], [17, 19, 18, 20]]
29: [[13, 4], [3, 1], [8, 2, 10], [7, 5, 11, 9], [12, 14, 15], [16, 17, 6], [19, 18, 20]]
30: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 12], [14, 9], [16, 6, 15], [17, 19, 18, 20]]
31: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 12], [14, 9], [16, 6, 15], [17, 19, 18, 20]]
32: [[13, 4], [3, 1, 8], [2, 10, 7], [5, 11, 12], [14, 9, 6], [16, 17, 19, 18, 20, 15]]
33: [[13, 4], [3, 1, 8, 2], [10, 7, 5, 11, 12, 14, 9, 6], [15, 16, 17, 19, 18, 20]]
34: [[13, 3, 1, 4], [8, 2, 10], [7, 5, 11, 12], [14, 9, 6], [16, 15], [17, 19, 18, 20]]
35: [[13, 4], [3, 1, 8, 2], [10, 7, 5], [11, 12, 14, 15, 16, 17, 19, 18, 20, 9, 6]]
36: [[13, 4], [3, 1, 8, 2], [10, 7, 5, 11, 12, 14, 6, 16, 9, 15], [17], [19, 18, 20]]
37: [[13, 4, 3], [1, 8, 2], [10, 7, 5, 11], [12, 9, 14, 6], [15, 16, 17, 19], [18, 20]]
38: [[13, 4], [3, 1], [8, 2, 10, 7], [5, 11, 12, 14, 15, 16, 17, 19, 18, 20, 9, 6]]
39: [[13, 3, 9, 4], [1, 8, 2], [10, 7, 6], [5, 11, 12], [14], [16, 17, 19, 15], [18, 20]]
40: [[13, 4], [3, 1, 8, 2, 10, 7, 5, 11], [12, 9, 15, 6, 14, 16, 17, 19, 18, 20]]
41: [[13, 4], [3, 1, 8, 2], [10, 7, 5, 11, 12, 9, 14, 6, 15, 16, 17, 19, 18, 20]]
