0: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30], [24, 29, 28, 31], [57, 35], [47, 40], [34, 33, 54, 32, 39, 37, 44], [38, 42], [41, 60, 43], [45, 63], [46, 48, 51, 49, 61], [52, 55, 53], [56, 59], [58, 62], [64, 67, 65, 68], [74, 66], [71, 69], [70, 72], [73, 76], [79, 75, 77, 78, 83, 80, 86, 81, 82], [85, 84, 87, 88]]
1: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30], [24, 29, 28, 31], [57, 35], [47, 40], [34, 33, 54, 32, 39, 37, 44], [38, 42], [41, 60, 43], [45, 63], [46, 48, 51, 49, 61], [52, 55, 53], [56, 59], [58, 62], [64, 67, 65, 68], [74, 66], [71, 69], [70, 72], [73, 76], [79, 75, 77, 78, 83, 80, 86, 81, 82], [85, 84, 87, 88]]
2: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18], [17, 27, 20], [19, 50], [26, 30, 24], [29, 28, 31], [57, 35], [47, 40], [34, 33], [54, 32, 39, 37, 44], [38, 42], [41, 60, 43], [45, 63], [46, 48, 51, 49, 61, 52, 55, 53, 56, 59], [58, 62, 64, 67, 65, 68, 74, 66, 71, 69, 70, 72, 73, 76, 79, 75, 77, 78, 83, 80, 86, 81, 82, 85, 84, 87, 88]]
3: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30], [24, 29], [28, 31], [57, 35], [47, 40, 34, 33], [54, 32], [39, 37], [44, 38, 42], [41, 60, 43, 45], [63, 46], [48, 51, 49, 61], [52, 55], [53, 56, 59], [58, 62], [64, 67, 65], [68, 74], [66, 71], [69, 70, 72, 73], [76, 79], [75, 77], [78, 83], [80, 86, 81, 82], [85, 84, 87, 88]]
4: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30], [24, 29, 28], [31, 57, 35], [47, 40, 34], [33, 54], [32, 39, 37, 44, 38], [42, 41, 60, 43, 45, 63, 46], [48, 51, 49, 61, 52, 55, 53], [56, 59, 58, 62], [64, 67, 65, 68, 74, 66, 71], [69, 70, 72, 73, 76, 79], [75, 77, 78, 83, 80, 86, 81, 82, 85, 84, 87, 88]]
5: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30, 24], [29, 28, 31], [57, 35, 47, 40], [34, 33, 54, 32], [39, 37, 44], [38, 42], [41, 60], [43, 45, 63], [46, 48, 51], [49, 61, 52, 55, 53, 56], [59, 58], [62, 64, 67], [65, 68], [74, 66, 71, 69], [70, 72], [73, 76], [79, 75, 77], [78], [83, 80, 86, 81], [82, 85], [84, 87, 88]]
6: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30], [24, 29, 28, 31], [57, 35], [47, 40], [34, 33], [54, 32], [39, 37, 44, 38], [42, 41], [60, 43], [45, 63], [46, 48], [51, 49, 61, 52], [55, 53], [56, 59], [58, 62], [64, 67, 65], [68, 74, 66], [71, 69, 70], [72, 73, 76], [79, 75, 77, 78, 83, 80], [86, 81, 82, 85, 84, 87, 88]]
7: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23, 21, 16], [18, 17], [27, 20], [19, 50], [26, 30], [24, 29], [28, 31], [57, 35], [47, 40, 34, 33], [54, 32], [39, 37, 44], [38, 42], [41, 60], [43, 45, 63], [46, 48], [51, 49, 61], [52, 55], [53, 56, 59, 58, 62, 64], [67, 65, 68, 74, 66, 71], [69, 70, 72, 73, 76], [79, 75], [77, 78, 83, 80, 86, 81], [82, 85, 84, 87, 88]]
8: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18], [17, 27, 20], [19, 50], [26, 30, 24], [29, 28, 31], [57, 35], [47, 40], [34, 33], [54, 32], [39, 37, 44, 38], [42, 41], [60, 43], [45, 63], [46, 48, 51, 49, 61], [52, 55, 53, 56, 59, 58], [62, 64, 67, 65, 68, 74], [66, 71, 69, 70], [72, 73, 76, 79, 75, 77, 78, 83, 80, 86, 81, 82, 85, 84, 87, 88]]
9: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16], [18, 17, 27, 20], [19, 50], [26, 30], [24, 29], [28, 31], [57, 35, 47, 40], [34, 33], [54, 32, 39], [37, 44], [38, 42], [41, 60], [43, 45, 63, 46, 48], [51, 49, 61, 52, 55, 53], [56, 59, 58, 62, 64, 67, 65, 68, 74, 66], [71, 69, 70, 72, 73, 76, 79, 75, 77, 78, 83, 80, 86], [81, 82, 85, 84, 87, 88]]
10: [[25, 36, 22, 7, 1, 2, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [13, 23], [21, 16, 18, 17], [27, 20], [19, 50], [26, 30], [24, 29, 28, 31], [57, 35], [47, 40], [34, 33], [54, 32], [39, 37, 44, 38], [42, 41], [60, 43], [45, 63, 46, 48], [51, 49, 61], [52, 55, 53, 56, 59, 58, 62, 64, 67, 65, 68, 74, 66, 71], [69, 70, 72, 73, 76, 79, 75, 77, 78, 83, 80, 86, 81, 82, 85, 84, 87, 88]]
