0: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
1: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
2: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
3: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
4: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
5: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
6: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
7: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
8: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
9: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
10: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
11: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
12: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
13: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
14: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
15: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
16: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
17: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
18: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
19: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
20: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
21: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
22: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
23: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
24: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
25: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
26: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
27: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
28: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
29: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
30: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
31: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
32: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
33: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
34: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
35: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
36: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
37: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
38: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
39: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
40: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
41: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
42: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
43: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
44: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
45: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
46: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
47: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
48: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
49: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
50: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
51: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
52: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
53: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
54: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
55: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
56: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
57: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
58: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
59: [[5, 19, 6, 3, 1, 7, 2, 10], [4, 9, 8, 11, 12], [15, 13], [24, 28], [16, 25, 17, 18, 20, 23, 29, 22, 14], [21, 26, 27]]
