0: [[4, 1, 3], [11, 6, 9], [5, 10, 8, 2], [12, 13, 7]]
1: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
2: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
3: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
4: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
5: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
6: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
7: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
8: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
9: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
10: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
11: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
12: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
13: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
14: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
15: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
16: [[4, 1, 3], [11, 6, 9], [2, 5, 10, 8], [12, 13, 7]]
17: [[1, 4, 3], [11, 9, 6], [2, 5, 10], [8, 12, 13, 7]]
18: [[4, 1, 3], [9, 6, 11], [2, 5, 10, 8, 12], [13, 7]]
19: [[4, 1, 3], [11, 9], [6, 5, 10, 8, 2], [12, 13, 7]]
20: [[4, 1, 3], [11, 9], [6, 2, 5, 10, 8], [12, 13, 7]]
21: [[4, 1, 3], [11, 9], [6, 5, 10, 8, 2], [12, 13, 7]]
22: [[4, 1, 3], [11, 9], [6, 2, 5, 10], [8, 12, 13, 7]]
23: [[4, 1, 3], [11, 9, 6, 2], [5, 10, 8], [12, 13, 7]]
24: [[1], [11, 9], [6, 2, 5, 10, 4, 3], [8, 12, 13, 7]]
25: [[4, 1, 3], [11, 9], [6, 2, 5], [10, 8, 12, 13, 7]]
26: [[4, 1, 3, 11], [9, 6], [2, 5, 10], [8, 12, 13, 7]]
27: [[4, 1, 3, 11], [9, 6], [2, 5, 10], [8, 12, 13, 7]]
