0: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
1: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12], [13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
2: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13], [9, 14, 15], [6, 16], [19, 17, 18, 20]]
3: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13], [9, 14, 15], [6, 16], [19, 17, 18, 20]]
4: [[3, 8, 1], [2, 5, 4], [10, 7, 11], [12, 13, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
5: [[3, 8, 1], [2], [5, 10, 7], [11, 12, 13, 9], [14, 4], [16, 19, 6, 15], [17, 18, 20]]
6: [[3, 8], [1, 2], [5, 10, 7], [11, 12], [13, 9], [14, 4, 6], [16, 18, 17, 15], [19, 20]]
7: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13], [14, 9, 6], [16, 17, 15], [19, 18, 20]]
8: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12], [13, 14, 9, 6, 15], [16], [19, 17, 18, 20]]
9: [[3, 8, 1], [2, 5, 4], [10, 7], [11, 12, 13], [14, 9, 6, 15], [16, 19, 17, 18, 20]]
10: [[3, 8, 1], [2, 4, 5], [10, 7], [11, 12, 13], [9, 14, 17], [15, 16, 6], [19, 18, 20]]
11: [[3, 8], [1, 2, 4], [5, 10, 7], [11, 12, 13], [14, 9, 6], [16, 17, 15], [19, 18, 20]]
12: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12], [13, 14, 9, 6], [16, 17, 15], [19, 18, 20]]
13: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 14], [13, 16, 9, 6, 15], [19, 17, 18, 20]]
14: [[3, 8, 1], [2, 5, 4], [10, 7], [11, 12, 13, 9], [14, 15, 16, 19, 17, 18, 20, 6]]
15: [[3, 8], [1, 2, 4], [5, 10, 7], [11, 12, 13], [14, 9, 6], [16, 19, 15], [17, 18, 20]]
16: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13], [14, 9, 6], [16, 19, 17, 15], [18, 20]]
17: [[3, 8], [1, 2, 4], [5, 10], [7, 11], [12, 13, 9], [14, 16, 6, 15], [19, 17, 18, 20]]
18: [[3, 8], [1, 2, 4], [5, 10, 7], [11, 12], [13, 14, 9, 6], [16, 17, 15], [19, 18, 20]]
19: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12], [13, 9, 14], [6, 15, 16], [19, 17], [18, 20]]
20: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12], [13, 14, 9, 6], [16, 17, 19, 15], [18, 20]]
21: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12], [13, 14, 9, 6], [16, 17, 19, 15], [18, 20]]
22: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13], [14, 15, 16, 17, 19, 18, 20, 9, 6]]
23: [[3, 8, 1], [2, 5], [10, 7, 11], [12, 9], [14, 13, 16, 4, 6, 15], [17, 19, 18, 20]]
24: [[3, 8, 1], [2], [5, 10], [7, 11, 9], [12, 15], [14, 13, 16, 4, 6], [19, 17, 18, 20]]
25: [[3, 8], [1, 2, 5, 4], [10, 7], [11, 12, 13], [14, 9, 6], [16, 15], [19, 17], [18, 20]]
26: [[3, 8, 1], [2, 5], [10, 7, 4], [11, 12, 13], [14, 9, 6], [16, 17, 15], [19, 18, 20]]
27: [[3, 8, 1], [2, 5, 4], [10, 7], [11, 12], [13, 14, 9], [16, 17, 19, 6, 15], [18, 20]]
28: [[3, 8, 1], [2, 5, 4], [10, 7, 11, 6], [12, 13, 14, 9], [16], [17, 15], [19, 18, 20]]
29: [[3, 8], [1, 2, 4], [5, 10, 7], [11, 12], [13, 15, 14, 16, 17, 19, 18, 20, 9, 6]]
30: [[3, 8, 1, 2], [5, 4], [10, 7, 11, 6], [12, 13, 9], [14], [17, 16, 19, 15], [18, 20]]
31: [[3, 8, 1], [2], [5, 10], [7, 11, 12], [13, 9], [14, 4], [16, 19, 6, 15], [17, 18, 20]]
32: [[3, 8, 1], [2, 4], [5, 10, 7, 12], [11, 13, 9], [14, 16, 17, 19, 18, 20, 6, 15]]
33: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 12, 13, 14, 15, 16, 19, 17, 18, 20, 9, 6]]
34: [[3, 8], [1, 2, 4], [5, 10, 7], [11, 12, 13, 14, 15, 16, 19, 17, 18, 20, 9, 6]]
35: [[3, 8], [1, 2, 4], [5, 10, 7], [11], [12, 13, 14, 15, 16, 17, 19, 18, 20, 9, 6]]
36: [[3, 8], [1, 2], [5, 10, 4], [7, 11, 9], [13, 6], [14, 15, 12, 16, 19, 17, 18, 20]]
37: [[3, 8, 1], [2, 4], [5, 10, 7], [11, 13, 6], [14, 15, 12, 16, 19, 17, 18, 20, 9]]
38: [[3, 8], [1, 2, 4], [5, 10], [7, 11, 12], [13, 14, 9], [16, 19, 17, 18, 20, 6, 15]]
39: [[3, 8, 1], [2, 4, 5, 10], [7, 11, 12, 13, 9, 14, 6, 15, 16, 19, 17, 18, 20]]
40: [[3, 8, 1], [2, 4, 5], [10, 7, 11, 12, 13, 9, 14, 6, 15, 16, 19, 17, 18, 20]]
41: [[3, 8], [1, 2, 4, 5, 10, 7, 11, 12, 13, 9, 14, 6, 15, 16, 17, 19], [18, 20]]
