0: [[18, 24], [22, 2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17], [16, 20, 23], [21, 25, 27, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
1: [[18, 24], [22, 2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17], [16, 20, 23], [21, 25, 27, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
2: [[18, 24], [22, 2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17], [16, 20, 23], [21, 25, 27, 26, 28], [31, 30, 32], [33, 34, 35], [36]]
3: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14], [8, 15, 13], [19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
4: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14], [8, 15, 13], [19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
5: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14], [8, 15, 13, 19], [17, 16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
6: [[18, 24, 22], [2, 7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28], [31, 30, 32], [33, 34, 35, 36]]
7: [[18, 24, 22], [2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33, 34], [35, 36]]
8: [[18, 24], [22, 2], [7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
9: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
10: [[18, 24, 22], [2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
11: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
12: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28], [31, 30, 32], [33, 34, 35, 36]]
13: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14], [8, 15, 13], [19, 17, 16], [20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
14: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14], [8, 15, 13], [19, 17, 16], [20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
15: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9], [11, 29, 3], [10, 14, 8], [15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
16: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20, 23], [21, 25, 27], [26, 28, 31, 30], [32, 33, 34, 35, 36]]
17: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20, 23], [21, 25, 27], [26, 28, 31, 30], [32, 33, 34, 35, 36]]
18: [[18, 24], [22, 2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29], [3, 10, 14], [8, 15, 13], [19, 17, 16], [20, 23, 21], [25, 27, 26, 28], [31], [30, 32, 33, 34], [35, 36]]
19: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13], [19, 17, 16], [20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
20: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
21: [[18, 24], [22, 2, 7, 1], [37, 12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8], [15, 13, 19], [17, 16], [20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
22: [[18, 24], [22, 2], [7, 1, 37], [12, 5], [6, 4, 9], [11, 29], [3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
23: [[18, 24], [22, 2], [7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25, 27], [26, 28, 31], [30, 32, 33, 34, 35, 36]]
24: [[18, 24, 22], [2, 7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31, 30], [32, 33], [34, 35, 36]]
25: [[18, 24], [22, 2, 7], [1, 37], [12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32], [33, 34, 35, 36]]
26: [[18, 24], [22, 2], [7, 1], [37, 12, 5], [6, 4, 9], [11, 29], [3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
27: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32], [33], [34, 35], [36]]
28: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32], [33, 34, 35, 36]]
29: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9, 11], [29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28, 31], [30, 32, 33], [34, 35, 36]]
30: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6], [4, 9, 11], [29, 3, 10, 14], [8, 15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32], [33, 34, 35, 36]]
31: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4], [9, 11, 29], [3, 10, 14], [8, 15], [13, 19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33, 34], [35, 36]]
32: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19, 17], [16, 20, 23], [21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
33: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4], [9, 11, 29], [3, 10, 14], [8, 15, 13], [19, 17, 16], [20, 23, 21], [25, 27, 26, 28], [31, 30, 32, 33, 34, 35, 36]]
34: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4], [9, 11, 29], [3, 10, 14], [8, 15, 13], [19, 17, 16], [20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
35: [[18, 24], [22, 2, 7, 1], [37, 12, 5, 6, 4, 9, 11, 29, 3, 10, 14, 8, 15, 13, 19, 17, 16, 20], [23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
36: [[18, 24], [22, 2], [7, 1, 37], [12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35], [36]]
37: [[18, 24, 22], [2, 7, 1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10], [14, 8, 15], [13, 19, 17], [16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
38: [[18, 24, 22], [2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25, 27], [26, 28, 31, 30, 32, 33, 34, 35, 36]]
39: [[18, 24, 22], [2, 7, 1], [37, 12], [5, 6, 4], [9, 11], [29, 3, 10, 14], [8, 15, 13, 19], [17, 16, 20], [23, 21, 25], [27, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
40: [[18, 24], [22, 2, 7], [1, 37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
41: [[18, 24], [22, 2, 7, 1], [37, 12, 5], [6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
42: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6, 4], [9, 11, 29], [3, 10, 14], [8, 15, 13], [19, 17], [16, 20, 23], [21, 25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
43: [[18, 24], [22, 2, 7], [1, 37, 12], [5, 6, 4, 9], [11, 29, 3], [10, 14, 8], [15, 13, 19], [17, 16, 20], [23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
44: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9], [11, 29, 3], [10, 14, 8, 15], [13, 19], [17, 16], [20, 23, 21], [25, 27], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
45: [[18, 24], [22, 2, 7], [1, 37], [12, 5, 6], [4, 9, 11], [29, 3, 10, 14], [8, 15], [13, 19, 17, 16, 20, 23, 21, 25, 27, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
