0: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
1: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
2: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
3: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
4: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
5: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
6: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
7: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
8: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
9: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
10: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
11: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
12: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
13: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
14: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
15: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
16: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
17: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
18: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
19: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
20: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
21: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
22: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
23: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
24: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
25: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
26: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
27: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
28: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
29: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
30: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
31: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
32: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
33: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
34: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
35: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
36: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
37: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
38: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
39: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
40: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
41: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
42: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
43: [[14, 12, 6], [9, 2, 1], [18, 3, 16], [4, 5], [10, 22, 20], [21, 23, 24], [11, 7], [13, 17, 19], [8, 15]]
