0: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
1: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
2: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
3: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
4: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
5: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
6: [[1, 11, 3], [10, 8, 2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
7: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
8: [[1, 11, 3], [10, 8], [5, 7, 2], [13, 12, 9], [16, 15, 14, 4, 6], [19, 17, 18, 20]]
9: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
10: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
11: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
12: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
13: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
14: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
15: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
16: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
17: [[1, 11, 3], [10, 8, 2], [7, 5], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
18: [[1, 11, 3], [10, 8, 2], [7, 5], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
19: [[1, 11, 3], [10, 8, 2], [7, 5], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
20: [[1, 11, 3], [10, 8, 2], [7, 5], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
21: [[1, 11, 3], [10, 8, 7, 2], [5], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
22: [[1, 11, 3], [10, 8, 2], [5, 4], [13, 12, 9], [16, 14, 7, 6, 15], [19, 17, 18, 20]]
23: [[1, 11, 3], [10, 8, 2], [7, 5, 13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
24: [[1, 11, 3], [10, 8, 2], [7, 5, 13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
25: [[1, 11, 3], [10, 8, 2], [7, 5, 13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
26: [[1, 11, 3], [10, 8, 2], [7, 5, 13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
27: [[1, 11, 3], [10, 8, 2], [7, 5, 13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
28: [[1, 11, 3], [10, 8, 5, 7], [13, 12, 9], [16, 14, 6], [2, 4, 15], [19, 17, 18, 20]]
29: [[1, 11, 3], [10, 8], [7, 5, 2], [13, 12, 16, 9, 6], [14, 15, 4], [19, 17, 18, 20]]
30: [[1, 11, 3, 10, 8], [2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
31: [[1, 11, 3, 10, 8], [2, 7, 5], [13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
32: [[1, 11, 3], [10, 8, 7], [2, 5, 13, 12, 9], [16, 6], [14, 4, 15], [19, 17, 18, 20]]
33: [[1, 11, 3, 10, 8], [2, 7, 5], [13, 12, 9], [16, 14, 6], [19, 17, 18, 20, 4, 15]]
34: [[1], [11, 3, 10, 8], [7, 5, 2], [13, 12, 9], [16, 15, 14, 4, 6], [19, 17, 18, 20]]
35: [[1, 11, 3, 10, 8], [2, 7, 5], [13, 12], [16, 9, 6], [14, 4, 15], [19, 17, 18, 20]]
36: [[1, 11, 3], [10, 8, 2, 5, 4], [13, 12, 9], [16, 14, 6], [7, 15], [19, 17, 18, 20]]
37: [[1, 11], [3, 10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
38: [[1, 11], [3, 10, 8], [7, 5, 2], [13, 12, 9], [16, 14, 15, 4, 6], [19, 17, 18, 20]]
39: [[1, 11, 3], [10, 8], [7, 5, 6], [13, 12, 16, 2, 9], [14, 4, 15], [19, 17, 18, 20]]
40: [[1, 11, 3, 10, 8], [2, 7, 6], [13, 12, 9], [16], [5, 14, 4, 15], [19, 17, 18, 20]]
41: [[1, 11, 3], [10, 8, 2], [5, 4], [13, 12, 16, 14, 9], [7, 6, 15], [19, 17, 18, 20]]
