0: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
1: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
2: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
3: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
4: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
5: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
6: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
7: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
8: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
9: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
10: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
11: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
12: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
13: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
14: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
15: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
16: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
17: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
18: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
19: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
20: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
21: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
22: [[24, 3, 4, 8], [6, 5, 10], [1], [7, 9], [13, 11, 15, 12, 14], [2, 19, 18, 16, 17], [20, 23, 25, 28, 22], [26, 21, 27, 29]]
