0: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
1: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
2: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
3: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
4: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
5: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
6: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
7: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
8: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
9: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
10: [[57, 48, 52, 61, 46], [26, 3, 81, 37, 63], [25, 70, 2, 86, 51], [14, 41, 31, 15], [35, 6, 84, 56, 4], [7, 80, 10, 24, 39], [58, 8, 9, 29], [38, 42, 5, 55], [11, 49, 16, 20, 18], [33, 21, 30, 66, 17], [1, 32, 50, 19], [22, 28, 13, 23, 12], [27, 40, 71, 47], [87, 44, 85, 45], [36, 62, 43, 64, 65], [69, 34, 53, 72], [73, 67, 60, 68, 77], [54, 59, 74, 76, 75], [79, 78, 83, 82, 88]]
