0: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2, 15, 11, 6, 9, 7, 13, 14, 17, 19, 16, 22, 12], [23, 28, 24], [27, 21, 26], [29]]
1: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2], [15, 11, 6], [9, 12, 13, 14], [7, 17, 16, 19, 22], [23, 28, 24], [27, 21, 26], [29]]
2: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2, 15], [6, 12, 7, 13], [11, 14, 9], [17, 16, 22, 19], [23, 28, 24, 27], [21, 26, 29]]
3: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 10, 15, 14, 7, 6, 12], [9, 13, 11], [16, 22, 26, 19, 23], [17, 28, 24], [21, 27, 29]]
4: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2, 15, 11, 6, 9, 12, 22, 13, 14, 16, 26, 19, 7], [21, 17, 27], [24, 29, 23, 28]]
5: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 7], [2, 11, 6, 9], [13, 15, 14], [12, 22, 16], [19, 17, 28, 23], [21, 24, 26, 27], [29]]
6: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2, 15], [14, 6, 9, 13, 29, 7, 11, 19, 16, 12, 17], [22, 28, 21, 27, 23, 26, 24]]
7: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 10], [15, 14, 6], [11, 9, 13, 12], [7, 17, 16, 22], [19, 23, 28], [24, 27, 21, 26, 29]]
8: [[25, 20, 5], [8, 3, 18, 4, 1], [2, 10, 15, 14], [6, 11, 12], [9, 13, 7, 17], [16, 22, 19, 23], [28, 26, 21], [29, 24, 27]]
9: [[25, 20, 5], [8, 3, 18], [4, 1, 2, 10], [15, 14, 6, 7, 13, 11, 9, 12], [16, 21, 24, 23, 22, 28, 17, 19], [29, 26, 27]]
10: [[25, 20, 5], [8, 3, 18, 4, 1], [2, 10, 15, 14], [7, 6, 11, 9, 13, 12], [24, 16, 21], [22, 23, 17, 19, 28], [27, 26, 29]]
11: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2], [15, 7, 6, 11], [9, 22, 13, 14], [17, 19, 21, 12, 23, 16, 29, 24], [26, 27, 28]]
12: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 15, 10], [7, 6, 11, 12], [9, 24, 21, 13, 14, 16, 22, 23, 17, 19, 26, 27, 28, 29]]
13: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 15, 10], [7, 6, 11, 12], [9, 24, 21, 13, 14, 16, 22, 23, 17, 19, 26, 27, 28, 29]]
14: [[25, 20, 5], [8], [3, 18, 4, 7], [1, 2, 10], [15], [6, 11, 9, 13, 12, 22, 17, 14], [16, 19, 23], [28, 27, 26, 21, 24, 29]]
15: [[25, 20, 5], [8, 3, 18], [4, 1, 2, 10, 15, 14, 6, 7, 11, 9, 13, 12, 16, 17, 26, 22, 23, 21, 24, 27, 19, 28, 29]]
16: [[25, 20, 5], [8, 3, 18, 4, 1], [2, 10, 15], [7, 6, 12, 13], [22, 9, 11, 17], [14, 16, 19, 23], [24, 21, 27], [26, 29, 28]]
17: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2, 15, 11], [6, 9, 7, 23], [12, 13, 16, 24, 14, 17, 19], [21, 27, 29, 26, 22, 28]]
18: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 7, 2], [11], [6, 9, 13, 15, 12, 14, 22, 16, 19, 17, 21, 23, 24, 27, 28, 26, 29]]
19: [[25, 20, 5, 8, 3], [18, 4, 1, 10], [2, 15, 11], [6, 7, 12, 13], [9, 14, 17, 16], [22, 23, 19], [29, 21, 27, 24, 26, 28]]
20: [[25, 20, 5, 8], [3, 18, 4, 1, 10, 2, 15, 7, 6, 11, 12, 9, 13, 14, 16, 24, 22, 23, 17, 19, 21, 29], [27, 26, 28]]
21: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 10, 15, 11], [6, 7, 9], [13, 12, 14], [17, 16, 19, 22], [23, 21, 24], [28, 27, 26], [29]]
22: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 10, 15, 14, 6, 9, 7, 13, 11, 12, 16, 27], [23, 22, 19, 17, 21, 24, 26, 29, 28]]
23: [[25, 20, 5], [8, 3, 18, 4, 1], [2, 10, 15], [11, 6, 7, 12], [17, 13, 9, 14, 16], [23, 19, 21], [26, 22, 29, 27], [28, 24]]
24: [[25, 20, 5], [8, 3, 18], [4, 1, 10], [6], [15, 9, 2, 7, 11, 13, 17, 16, 19, 23, 21, 22, 24, 28, 27, 26, 29, 12, 14]]
25: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 6], [15, 9, 2], [7, 13, 12, 11], [14, 16, 17, 23, 19, 27, 21, 22], [28, 24, 26, 29]]
26: [[25, 20, 5], [8, 3, 18], [4, 1, 10, 2], [15, 11, 6], [9, 13, 7, 14], [12, 19, 16], [22, 23, 24, 26, 17], [27, 21, 28, 29]]
27: [[25, 20, 5], [8, 3, 18], [4, 1, 2, 15, 10], [14, 7, 6, 11, 9, 29, 17, 12, 13, 24, 22, 23, 19, 16, 21, 27], [26, 28]]
28: [[25, 20, 5], [8, 3, 18], [4, 1, 2, 10, 15], [11, 6, 9, 13], [12, 7, 14, 17, 24, 19, 16, 22, 23, 21, 27, 26, 28, 29]]
29: [[25, 20], [5, 8, 3, 18, 4, 1, 10, 2, 15, 14, 6, 11, 9, 12, 7, 13, 19, 16, 17, 23, 22, 21, 27, 26, 24, 28], [29]]
30: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2], [15, 11, 6], [9], [13, 14, 12, 7, 17, 16, 19, 22, 23, 21, 24, 28, 29, 26, 27]]
31: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2], [15, 14, 6, 7], [9, 11, 13], [12, 17, 16, 19, 22, 23, 21, 24, 27, 28, 26, 29]]
32: [[25, 20, 5], [8, 3, 18], [4, 1, 10], [2, 15, 14, 6], [11, 7, 9, 13, 12], [16, 24, 22, 19], [23, 17, 26, 27, 21, 28, 29]]
33: [[25, 20, 5], [8, 3, 18, 4], [1, 2, 10], [15, 14, 6, 11, 9], [7, 13, 12, 16, 21, 19, 22, 23, 17, 29, 24, 26, 27, 28]]
34: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 7], [2, 11, 6], [13, 9, 12], [15, 14, 22, 24], [19, 16, 17, 21], [23, 26, 27, 28], [29]]
35: [[25, 20, 5], [8, 3, 18, 4], [1, 10, 2], [15, 11, 6, 7], [12, 9, 13, 14], [17, 16, 23], [19, 22, 28, 24, 27, 21, 26, 29]]
