0: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
1: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
2: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
3: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
4: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
5: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
6: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
7: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
8: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
9: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
10: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
11: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
12: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
13: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
14: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
15: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
16: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
17: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
18: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
19: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
20: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
21: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
22: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
23: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
24: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
25: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
26: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
27: [[5, 3], [1, 2], [10, 9, 4], [13, 12, 7], [6, 8, 11]]
