0: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
1: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
2: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
3: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
4: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
5: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
6: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
7: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
8: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
9: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
10: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
11: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
12: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
13: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
14: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
15: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
16: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
17: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
18: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
19: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
20: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
21: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
22: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
23: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
24: [[14, 2, 7, 22, 1, 4, 6], [8, 29, 5, 15, 11, 10, 13], [3, 9, 12, 18, 16, 17, 24, 20], [19, 21, 25, 26, 27, 28, 31], [30, 23, 34, 33, 32, 35, 37, 36]]
