0: [[1, 3], [8, 7, 6, 5, 10, 2], [13, 11, 12, 9], [15, 14, 16, 4], [17, 18, 19, 20]]
1: [[1, 3], [8, 7, 6, 5, 10, 2], [13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
2: [[1, 3], [8, 7, 6, 5, 10, 2], [13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
3: [[3, 1], [2, 8], [7, 6, 5, 10], [13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
4: [[3, 1], [2, 8], [7, 6, 5, 10], [13, 11, 12, 9], [4, 15, 14], [16, 17, 18, 19, 20]]
5: [[1], [8, 6, 3], [5, 10, 2, 7], [13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
6: [[1, 3], [2, 8, 7, 6, 5, 10], [13, 11, 12], [4, 15, 14, 16, 9], [17, 18, 19, 20]]
7: [[1, 8, 3, 2], [6], [5, 10, 7], [13, 11, 12, 9], [4, 15, 14, 16, 17], [18, 19, 20]]
8: [[3, 1], [2, 8, 7], [6, 5, 10], [13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
9: [[3, 1], [2, 8, 7], [6, 5, 10], [13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
10: [[3, 1], [2, 8], [7, 6], [5, 10], [13, 11, 12], [9], [4, 15, 14, 16], [17, 18, 19, 20]]
11: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
12: [[1, 8, 3], [7, 6, 5, 2], [10], [13, 11, 12, 9], [4, 15, 14, 16, 17, 18, 19, 20]]
13: [[3, 1], [2, 8, 7, 6], [5, 10, 13], [11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
14: [[3, 1], [2, 8, 7], [6, 5, 10], [13, 11, 12], [9, 4, 15, 14, 16], [17, 18, 19, 20]]
15: [[1, 8, 3, 2], [7, 6, 5, 10, 13], [11, 12, 9], [4, 15, 14, 16, 17, 18, 19, 20]]
16: [[1, 8, 7, 3, 2], [6, 5, 10, 13], [11, 12, 9], [4, 15, 14, 16], [17, 18, 19, 20]]
17: [[1], [8, 7, 2], [5, 10], [13, 11, 3], [12, 9], [4, 15, 14, 16, 6], [17, 18, 19, 20]]
18: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14, 16], [17, 18, 19, 20]]
19: [[3, 1], [2, 8], [7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14, 16], [17, 18, 19, 20]]
20: [[3, 1], [2, 8], [7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14, 16], [17, 18, 19, 20]]
21: [[3, 1], [2, 8, 7, 6], [5, 10, 13, 11, 12, 4, 9], [15, 14, 16, 17, 18, 19, 20]]
22: [[1, 8, 7, 3, 2], [5, 10, 6], [13, 11, 12, 9], [4, 15, 14], [16, 17, 18], [19, 20]]
23: [[3, 1, 2, 8], [7, 6], [5, 10, 13, 11, 12, 4, 9], [15, 14, 16, 17, 18, 19, 20]]
24: [[3, 1], [8, 7, 5, 2, 6], [10, 13], [11, 9, 4, 12], [15, 14, 16], [17, 18, 19, 20]]
25: [[3, 1, 2, 8], [7, 6, 5, 10, 13, 11, 12, 9, 4], [15, 14, 16, 17, 18, 19, 20]]
26: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14, 16, 17], [18, 19, 20]]
27: [[3, 1], [2, 8], [7, 6, 5, 10], [13, 11, 12], [9, 4, 15], [14, 16, 17, 18], [19, 20]]
28: [[3, 1, 2, 8], [7, 6, 5, 10], [13, 11, 12, 9, 4, 15, 14, 16, 17, 18, 19, 20]]
29: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14], [16, 17, 18, 19, 20]]
30: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14], [16, 17, 18, 19, 20]]
31: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14], [16, 17, 18, 19, 20]]
32: [[3, 1], [2, 8, 7, 6], [5, 10, 13, 11, 12], [9, 4, 15, 14], [16, 17, 18, 19, 20]]
33: [[3, 1], [8, 7, 2], [5, 10, 13], [11, 9, 4, 15, 12], [14, 16, 17, 6], [18, 19, 20]]
34: [[3, 1], [2, 8, 7, 6, 5], [10, 13, 11, 12], [9, 4, 15, 14, 16, 17, 18, 19, 20]]
35: [[3, 1], [2, 8, 7, 6], [5, 10, 13, 11], [12, 9, 4, 15, 14], [16, 17, 18, 19, 20]]
36: [[3, 1], [2, 8], [7, 6, 5, 10], [13, 11], [12, 9, 4, 15], [14, 16, 17], [18, 19, 20]]
37: [[3, 1], [2, 8, 7, 6], [5, 10, 13], [11, 12, 9, 4, 15, 14, 16, 17, 18, 19, 20]]
38: [[3, 1, 2, 8, 7], [6, 5, 10, 13], [11, 12, 9, 15, 14, 16, 17, 18, 4], [19, 20]]
39: [[3, 1], [2, 8, 7, 6], [5, 10, 13, 11, 12, 9, 4, 15, 14, 16, 17, 18, 19, 20]]
40: [[3, 1], [2, 8, 7, 6], [5, 10, 13, 11, 12, 9, 4, 15, 14, 16, 17, 18, 19, 20]]
41: [[1], [8, 3], [6, 5, 2, 7], [10, 13], [11, 12, 9, 4, 15], [14, 16, 17], [18, 19, 20]]
