0: [[2, 19, 4, 22, 14, 10], [11, 7], [18, 16, 12, 3, 20, 17, 1, 5], [6, 8, 9, 15, 13], [21, 24, 23]]
1: [[2, 19, 4, 22, 14, 10], [11, 7], [18, 16, 12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
2: [[2, 19, 4, 22, 14, 10], [11, 7], [18, 16, 12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
3: [[2, 19, 4, 22, 14, 10], [11, 7], [18, 16, 12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
4: [[2, 19, 4, 22, 14, 10], [11, 7], [18, 16, 12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
5: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
6: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
7: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
8: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
9: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17, 6], [8, 9, 15, 13], [21, 24, 23]]
10: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17, 6], [8, 9, 15, 13], [21, 24, 23]]
11: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
12: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
13: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
14: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
15: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
16: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
17: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
18: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
19: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
20: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17, 6], [8, 9, 15, 13], [21, 24, 23]]
21: [[14, 2, 10, 19, 4, 22], [11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
22: [[14, 2, 10, 19, 4, 22], [11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
23: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17, 6], [8, 9, 15, 13], [21, 24, 23]]
24: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
25: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
26: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
27: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
28: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
29: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
30: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
31: [[2, 19, 4, 14, 10], [22, 11, 7, 18], [16, 12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
32: [[2, 19, 4, 14, 10], [22, 11, 7, 18], [16, 12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
33: [[14, 2, 10, 19, 4], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
34: [[14, 2, 10, 19, 4], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
35: [[14, 2, 10, 19, 4], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
36: [[14, 2, 10, 19, 4], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
37: [[14, 2, 10, 19, 4], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
38: [[2, 19, 14, 10], [4, 22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13], [21, 24, 23]]
39: [[14, 2, 4, 10, 19], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
40: [[14, 2, 10, 19], [4, 22, 11, 7, 18], [16, 12, 5, 3, 1, 20], [17, 6, 8, 9, 15, 13], [21, 24, 23]]
41: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17, 6], [8, 9, 15, 13, 21], [24, 23]]
42: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17, 6], [8, 9, 15, 13, 21], [24, 23]]
43: [[2, 19, 4, 22, 14, 10], [11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15], [13, 21, 24, 23]]
44: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17, 6], [8, 9, 15, 13, 21], [24, 23]]
45: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12], [5, 3, 1, 20, 17], [6, 8, 9, 15, 13, 21], [24, 23]]
46: [[14, 2, 10, 19, 4], [22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15], [13, 21, 24, 23]]
47: [[2, 19, 4, 14, 10], [22, 11, 7, 18, 16, 12, 5], [3, 1, 20, 17], [6, 8, 9, 15, 13, 21], [24, 23]]
48: [[2, 19, 14, 10], [4, 22, 11, 7, 18, 16], [12, 5, 3, 1, 20, 17], [6, 8, 9, 15, 13, 21], [24, 23]]
49: [[14, 2, 10, 19], [4, 22, 11, 7, 18, 16], [12, 5, 3, 1, 20], [17, 6, 8, 9, 15], [13, 21, 24, 23]]
