0: [[22], [2], [10, 14], [4, 6, 3, 5], [11, 7], [12, 13], [8, 15], [19, 20, 17, 1, 9], [18, 16], [21, 23, 24]]
1: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 17, 9, 1], [18, 16], [21, 23, 24]]
2: [[22], [2], [10, 14], [4, 6, 3, 5], [11, 7], [13, 12], [8, 15, 9], [19, 20, 17, 1], [18, 16], [21, 23, 24]]
3: [[22], [2], [14, 4, 10], [6, 3, 9], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 16], [21, 23, 24]]
4: [[22], [2], [14, 4, 10], [6, 3, 9], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 16], [21, 23, 24]]
5: [[22], [2, 10, 1], [14, 4, 6, 3, 5], [11, 7], [13, 12], [8, 15, 9], [19, 20, 17], [18, 16], [21, 23, 24]]
6: [[22], [9, 1], [2, 10], [14, 4, 5], [6, 3], [11, 7], [13, 12, 8, 15, 19, 20, 17, 18, 16], [21, 23, 24]]
7: [[22], [2, 10, 1], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 17, 18, 16], [21, 23, 24]]
8: [[22], [2, 10, 1], [14, 4], [6, 3, 9], [11, 7, 13], [12, 8, 5], [15, 19, 20, 17], [18, 16], [21, 23, 24]]
9: [[22], [2], [14, 4, 10], [6, 3, 9], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 16, 21], [23, 24]]
10: [[22], [2], [14, 4, 10], [6, 3, 9], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 16, 21], [23, 24]]
11: [[22], [2], [14, 4, 10], [6, 3, 9], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 16, 21], [23, 24]]
12: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 17, 9, 1], [18, 16, 21], [23, 24]]
13: [[22], [2, 1], [14, 4, 10], [6, 3], [11, 7], [13, 12], [8, 15, 19], [20, 17, 5, 9], [18, 16, 21], [23, 24]]
14: [[22], [2, 1], [14, 4, 10], [6, 3], [11, 7], [13, 12], [8, 15, 19], [20, 17, 5, 9], [18, 16, 21], [23, 24]]
15: [[22], [9, 1], [2, 10], [14, 4, 5], [6, 3], [11, 7], [13, 12, 8, 15, 19, 20, 17, 18, 16, 21], [23, 24]]
16: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
17: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
18: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
19: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
20: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
21: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
22: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
23: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
24: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
25: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
26: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
27: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21], [23, 24]]
28: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 8, 5], [15, 19], [20, 17, 9, 1], [18, 16, 21], [23, 24]]
29: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 17, 9, 1], [18, 16], [21, 23], [24]]
30: [[22], [2, 1], [14, 4, 10], [6, 3], [11, 7], [13, 12], [8, 15, 19], [20, 17, 5, 9], [18, 16], [21, 23], [24]]
31: [[22], [2], [14, 4, 10], [6, 3, 9], [11, 7, 13, 12], [8, 15], [19, 20, 1], [17, 18, 5], [16, 21], [23, 24]]
32: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21, 23, 24]]
33: [[22], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15], [19, 20, 1], [17, 18, 9], [16, 21, 23, 24]]
34: [[22], [2], [10, 14], [4, 6, 5], [3, 11], [7, 13, 12], [8, 15, 9], [19, 20, 17, 1], [18, 16, 21], [23, 24]]
35: [[22], [2, 10, 1], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 17, 18], [16, 21, 23, 24]]
36: [[22], [2, 10], [14, 4], [6, 3], [11, 7, 13, 12], [8, 15, 9], [19, 20, 1], [17, 18, 5], [16, 21, 23, 24]]
37: [[22], [2, 10], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 1], [17, 18, 16, 21, 23, 24]]
38: [[22], [2, 10], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 1], [17, 18, 16, 21, 23, 24]]
39: [[22], [2, 10], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 1], [17, 18, 16, 21, 23, 24]]
40: [[22], [2, 10, 1], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 17, 18, 16, 21, 23, 24]]
41: [[22], [2, 10, 1], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 17, 18, 16, 21, 23, 24]]
42: [[22], [2, 10, 1], [14, 4], [6, 3], [11, 7], [13, 12, 5], [8, 15, 9], [19, 20, 17, 18, 16, 21, 23, 24]]
43: [[22], [9, 1], [2], [14, 4, 10], [6, 3], [11, 7], [13, 12, 5], [8, 15, 19, 20, 17, 18, 16, 21, 23, 24]]
44: [[22], [2, 10], [14, 4], [6, 3, 11, 7, 13], [12, 8, 5], [15, 19, 20, 17, 9, 1], [18, 16, 21, 23, 24]]
45: [[22], [2, 10, 1], [14, 4], [6, 3, 9], [11, 7, 13], [12, 8, 15, 5], [19, 20, 17, 18, 16, 21, 23, 24]]
46: [[22, 5, 4], [9], [2], [14, 6, 3, 11, 7, 13, 12, 8, 10], [15, 19, 1], [20, 17, 18, 16, 21, 23, 24]]
47: [[22], [2], [10, 14], [4, 6, 5], [3, 11], [7, 13], [12, 8, 15], [19, 20, 1], [17, 18, 9], [16, 21, 23, 24]]
48: [[22], [2, 10], [14, 4], [6, 3, 11, 9], [7, 13], [12, 8, 15, 5], [19, 20, 1], [17, 18, 16, 21, 23, 24]]
49: [[22, 5], [9, 1], [2], [14, 4, 10], [6, 3, 11, 7, 13, 12, 8, 15, 19, 20, 17, 18, 16, 21, 23, 24]]
