0: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
1: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
2: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
3: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
4: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
5: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
6: [[13, 10, 4, 1, 2], [3, 5], [6, 7, 9, 8, 11, 12]]
7: [[13, 10], [4, 1, 2, 3, 5], [6, 7, 9, 8, 11, 12]]
8: [[13, 10], [4, 1, 2, 3, 5], [6, 7, 9, 8, 11, 12]]
9: [[13, 10], [4, 1, 2, 3, 5], [6, 7, 9, 8, 11, 12]]
10: [[13, 10], [4, 1, 2, 3, 5], [6, 7, 9, 8, 11, 12]]
11: [[13, 10], [4, 1, 2, 3, 5], [6, 7, 9, 8, 11, 12]]
12: [[13, 10], [4, 1, 2, 3, 5, 6], [7, 9, 8, 11, 12]]
13: [[13, 10], [4, 1, 2, 3, 5, 6], [7, 9, 8, 11, 12]]
14: [[13, 10], [4, 1, 2, 3, 5, 6], [7, 9, 8, 11, 12]]
15: [[13, 10], [4, 1, 2, 3, 5, 6], [7, 9, 8, 11, 12]]
16: [[13, 10], [4, 1, 2, 3, 5, 6], [7, 9, 8, 11, 12]]
17: [[13, 10, 4, 1, 2, 3], [5, 6], [7, 9, 8, 11, 12]]
18: [[13, 10, 4, 1, 2, 3], [5, 6], [7, 9, 8, 11, 12]]
19: [[13, 10, 4, 1, 2, 3], [5, 6], [7, 9, 8, 11, 12]]
20: [[13, 10, 4, 1, 2, 3], [5, 6], [7, 9, 8, 11, 12]]
21: [[13, 10], [4, 1, 2, 3], [5, 6, 7, 9, 8, 11, 12]]
22: [[13, 10], [4, 1, 2, 3], [5, 6, 7, 9, 8, 11, 12]]
23: [[13, 10], [4, 1, 2, 3], [5, 6, 7, 9, 8, 11, 12]]
24: [[13, 10, 4, 1], [2, 3], [5, 6, 7, 9, 8, 11, 12]]
25: [[13, 10, 4, 1], [2, 3], [5, 6, 7, 9, 8, 11, 12]]
26: [[13, 10, 4, 1], [2, 3], [5, 6, 7, 9, 8, 11, 12]]
27: [[13, 10, 4, 1], [2, 3], [5, 6, 7, 9, 8, 11, 12]]
