0: [[35, 43, 7, 2], [1, 3, 4], [13, 5, 6, 21], [9, 11, 16, 15, 31, 8, 14, 10, 18], [17, 12, 19, 23, 26, 27, 20, 24], [22, 29, 28, 25, 39, 32, 30, 37], [33, 34, 36, 40], [47, 45], [46, 41, 38, 44], [42, 51], [55, 48, 53, 54], [49, 57], [50, 52, 58, 56], [59, 60]]
1: [[35, 43, 7, 2], [1, 3, 4], [13, 5, 6, 21], [9, 11, 16, 15, 31, 8, 14, 10, 18], [17, 12, 19, 23, 26, 27, 20, 24], [22, 29, 28, 25, 39, 32, 30, 37], [33, 34, 36, 40], [47, 45], [46, 41, 38, 44], [42, 51], [55, 48, 53, 54], [49, 57], [50, 52, 58, 56], [59, 60]]
2: [[35, 43, 7, 2], [1, 3, 4], [13, 5, 6, 21], [9, 11, 16, 15, 31, 8, 14, 10, 18], [17, 12, 19, 23, 26, 27, 20, 24], [22, 29, 28, 25, 39, 32, 30, 37], [33, 34, 36, 40], [47, 45], [46, 41, 38, 44], [42, 51], [55, 48, 53, 54], [49, 57], [50, 52, 58, 56], [59, 60]]
3: [[35, 43, 2, 7], [1], [3, 4, 24, 17, 5, 11, 12, 14, 29, 10], [9, 6, 28, 15, 13, 22, 21, 16], [8, 19, 27, 25, 18, 20, 26, 31, 23, 46, 30, 44], [32, 34], [38, 42, 33, 39, 37, 36], [41, 40], [45, 47, 48, 52], [55, 53, 51], [49, 57, 50, 54, 59, 56, 58, 60]]
4: [[35, 43, 2, 7], [1, 3, 4, 9, 8, 6, 14, 20, 10, 28, 5, 15, 31, 12, 11, 23, 13, 26, 19, 16, 18, 29, 17, 22, 27, 24, 21, 25, 45, 46, 30, 32, 34, 41, 53, 33, 36, 44, 37, 38, 47, 39, 40, 51, 42, 58], [49, 52, 50, 59, 54, 55, 57, 48, 56, 60]]
5: [[35, 43, 2, 7, 1, 3], [4, 11, 14, 8, 5, 12, 22], [6, 10, 20, 9, 15, 13, 18, 21, 28, 16, 31, 17, 19, 23, 26, 25, 24, 27, 29, 47, 30, 33, 32, 37, 39, 58, 40, 34, 41, 38, 36, 46, 42], [45, 51, 50, 48, 44], [53, 52, 54], [49, 55, 56, 60, 57, 59]]
6: [[35, 43, 2, 7, 1, 4, 5], [15, 3, 11, 26, 27, 9, 14, 13, 12, 20, 16, 10, 21, 6], [23, 19, 29, 22, 30, 8, 24], [18, 17, 28, 25, 31, 37, 33, 32, 34, 36, 42, 38, 46, 39, 40, 41, 45, 47, 52, 58, 44, 51, 48, 59, 53], [57, 49, 54, 55, 50, 56, 60]]
7: [[35, 43, 2, 7], [1, 4, 3, 9, 5, 27, 13, 8, 12, 11, 26, 10, 6, 15, 28, 14, 18, 17, 22, 16, 23, 20, 25, 19, 31, 21, 24, 29, 44, 45, 30, 33, 41, 34, 36, 32, 37, 38, 40, 46, 56, 39, 42, 48], [54, 47, 49, 50, 55, 51, 52, 53, 57, 59, 58, 60]]
8: [[35, 43, 2, 7], [1, 3, 4, 9, 5, 21, 6, 27], [10, 12, 15, 11, 19, 8, 20, 14], [22, 16, 17, 31, 24, 26], [25, 18, 29, 28, 13, 30, 38], [33, 23, 32, 34, 36, 37, 41, 39], [42, 44, 45, 56, 40, 54], [48, 53, 50, 46, 47, 55, 51], [49, 52, 57, 60, 59, 58]]
9: [[35, 43, 2, 7], [1, 3, 8, 9, 5, 22, 4, 11, 6, 14, 10], [15, 26, 18, 20, 17, 19, 31], [13, 21, 16, 27, 24, 30], [28, 41, 42, 23], [38, 44, 39, 36], [25, 29, 40, 12, 32, 34, 46, 33, 37, 45], [55], [47, 49, 51, 48, 52, 58, 50, 53, 56, 59, 54, 57, 60]]
10: [[35, 43, 2, 7, 1, 5], [4, 29, 21, 6, 15, 12, 10], [3, 24, 13, 8, 9, 23, 19, 28, 22, 11, 18, 14, 16, 17, 30, 27, 20, 25, 26, 38, 31, 34, 36, 42, 47, 32, 39, 41, 33, 37, 40, 44, 46], [45, 48, 50, 49, 52, 59, 51, 55, 54, 60, 53, 57, 58, 56]]
11: [[35, 43, 2, 7], [1], [3, 4, 8, 16, 21, 11, 9, 14, 18, 5], [6, 10, 12, 15, 13, 17, 22, 23], [24, 19, 27, 25, 30, 20, 26, 29, 31, 46, 28, 38], [32, 42, 34, 36, 33, 37], [39, 40], [41, 44, 45, 47], [50, 53, 55], [49, 51, 52, 57, 48, 54, 59, 56], [58, 60]]
12: [[35, 43, 2, 7, 1, 3], [5, 29, 8, 12, 14, 4, 6, 11, 10], [9, 13, 17, 15, 16, 26, 18], [21, 19, 22, 24, 25, 20, 27, 31], [30, 23, 47, 28, 46, 37], [34, 32, 36, 38], [41, 40, 33, 39, 44, 42, 45, 51, 50, 55, 48], [57, 49, 54], [58, 52, 59, 53, 60, 56]]
13: [[35, 43, 2, 7], [1], [3, 5, 9, 4, 8, 27, 10, 28, 11, 13, 24, 19, 6, 12, 14, 30, 15, 20, 17, 22, 18, 16, 23, 21, 25, 29, 26, 44, 31, 33], [32, 42, 36, 34, 41, 45, 40, 37, 39], [38, 47, 46, 51, 53, 49, 48, 52, 55, 54, 50, 57, 56], [60, 59, 58]]
14: [[35, 43, 2, 7], [1, 3, 5], [13, 6, 28, 21, 9, 11, 14, 15, 24, 4, 8, 10, 19, 18], [12, 16, 23, 26, 30, 20, 25, 17, 29, 22, 27, 39, 32, 31, 34, 33, 37, 36, 40, 47, 45, 44, 41, 38, 42, 46, 50, 55, 48, 53, 54, 49, 51, 52, 56, 57, 58, 59, 60]]
15: [[35, 43, 2, 7], [1, 3, 8, 25, 12, 6, 5, 11, 14, 4, 30, 23, 10, 9, 15, 16, 13, 17, 19, 31, 18, 27, 20, 21, 22, 28, 29, 26, 44, 24, 41, 34, 33, 37, 32, 38, 39, 42, 46, 40, 45, 47, 49, 51, 48, 58, 54], [36, 55, 52, 50, 60], [53, 56, 59, 57]]
16: [[35, 43, 2, 7], [1], [4, 10, 15, 3, 6, 25, 5, 14, 9, 11, 8, 26, 30, 12, 13, 21], [20, 16, 22, 18, 19, 17, 23, 24, 27, 31, 29, 45, 28, 39, 36, 33, 32, 40, 41, 42, 34, 37, 46, 44, 38, 49, 47, 48, 55, 52, 50, 51, 54, 56, 53, 57, 58, 60, 59]]
17: [[35, 43, 2, 7, 1], [4, 5], [11, 3, 6, 19, 27, 8, 12, 9], [15, 10, 14, 13, 21, 17], [29, 18, 23, 16, 22, 20, 24, 26, 25, 28, 31, 45], [36, 30, 33, 42], [32, 54, 52, 41, 37, 34, 46, 38, 39, 40, 44, 47, 51], [48, 49, 50, 57, 56, 53, 55, 60, 58, 59]]
18: [[35, 43, 2, 7], [1, 4, 12, 29], [28, 6, 11, 24, 5, 10, 9, 8, 3, 14, 13, 16, 15, 19, 22, 18, 21, 26], [20, 17, 23, 25, 27, 30, 45], [31, 39, 37, 42, 33, 32, 36, 34, 47, 38, 40, 41, 44], [46, 51, 48, 53, 54, 52, 59, 49, 55, 58, 57, 50, 56, 60]]
19: [[35, 43, 2, 7], [1, 3, 5, 31, 9], [4, 8, 12, 6, 13, 10, 14, 11], [19, 30, 15, 22, 20, 16, 23, 18, 25, 24, 21, 17], [27, 28, 26, 29, 42, 33, 34, 37, 32], [38, 36, 47, 44, 41], [39, 45], [40, 46, 51, 48], [49, 52, 50, 58, 56, 57, 53, 55, 54], [60, 59]]
20: [[35, 43, 2, 7, 1], [3, 4, 25, 9, 6, 15, 5, 8, 10, 24, 11, 13, 12, 14, 19], [28, 16, 17, 22, 27, 18, 21, 20, 23, 30, 26, 29, 44, 31, 40, 33, 34, 39, 36, 37, 32, 42, 46, 41, 47, 48], [45, 38, 51, 50, 53, 55, 58, 49, 54, 52, 56, 57, 60, 59]]
21: [[35, 43, 2, 7], [1, 5], [4, 9, 21, 6, 3, 24, 30], [12, 8, 10, 11, 14, 15, 18, 19, 20, 16, 17, 23, 25, 13, 22], [31, 26, 29, 27, 36, 28, 39, 32, 42, 33, 34, 57, 37], [38, 41, 44, 45, 40, 46, 54, 53, 50, 47, 48, 49, 59], [51, 56, 55, 52, 58, 60]]
22: [[35, 43, 2, 7, 1], [4, 3, 13, 17, 22, 6, 9, 14, 18, 5, 10, 11, 16, 8, 12, 19, 20, 21, 15, 23, 26, 24, 28, 27, 25, 30, 31, 45, 29, 39, 36, 42, 32, 40, 33, 37, 34, 38, 41, 46, 47, 44, 50, 54, 49, 48, 55, 51, 56, 52, 58], [53, 57, 59, 60]]
23: [[35, 43, 2, 7, 1], [4, 13, 27, 31, 6, 11, 25, 3, 8, 5, 9, 14, 10, 12, 15, 16, 21, 17, 18, 19, 22, 23, 24, 20, 26, 28, 29, 46, 30, 39, 34, 40, 32, 37, 44, 33, 38, 36, 41, 45, 42, 47, 50, 53, 49, 48, 52, 58, 51, 54], [55, 57, 60, 56, 59]]
24: [[35, 43, 2, 7], [1, 4, 12, 8, 9, 14], [11, 3, 5, 22, 13, 19, 21, 6], [20, 15, 16, 23, 26, 30, 25, 29, 17, 27, 28, 31, 45, 24, 33, 10], [32, 40, 37, 34, 36, 38, 41, 42, 39, 46, 49, 18], [44, 51, 53, 47, 48, 52, 50, 57, 54, 55, 58, 60, 59, 56]]
25: [[35, 43, 2, 7, 1, 3, 5, 4, 11, 22], [6, 25, 14, 8, 15], [9, 17, 10, 13, 24, 16, 12, 28, 20, 19, 23, 21, 18], [27, 26, 30, 31], [36, 44, 29, 32, 33, 34, 52, 56, 39, 38, 37, 47, 45, 40, 46], [55, 49, 53, 48, 41, 42, 58, 54, 50, 51, 59, 60, 57]]
26: [[35, 43, 2, 7, 1], [4, 3, 9, 6], [16, 13, 15, 11, 22, 10, 25, 23, 5, 8, 12, 19, 20, 14, 18, 17, 21], [24, 27, 28, 31, 26, 29, 46, 60, 30, 32, 41, 34, 33, 36, 37, 38, 39, 40, 47, 44], [42, 50, 55, 51, 57, 53, 49, 45, 54, 52, 48, 58, 59, 56]]
