0: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [9, 11, 13, 12], [15, 16], [17, 19, 18, 20]]
1: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [9, 11, 13, 12], [15, 16], [17, 19, 18, 20]]
2: [[10, 6], [1, 3, 8], [14, 4, 2], [5, 7], [9, 13, 11, 12], [15, 16], [17, 19, 18, 20]]
3: [[10, 6], [1, 3, 8], [14, 4], [2, 5], [7, 9], [11, 13, 12], [15, 16], [17, 19, 18, 20]]
4: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 13, 12, 9], [17, 15], [19, 16, 20, 18]]
5: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 13, 9], [12], [16, 17, 19, 18, 20, 15]]
6: [[10], [1, 3, 8], [14, 2, 4, 6], [5, 7, 9], [11, 13, 12], [17, 19], [16, 18, 20, 15]]
7: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 9, 13, 12], [18, 19], [17, 15, 16], [20]]
8: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 9, 13, 12], [18, 19], [17, 15, 16], [20]]
9: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 9], [13, 12, 16, 17, 18, 20, 19, 15]]
10: [[10, 6], [1, 3], [8, 14, 4], [2, 5], [7, 9, 11], [13, 12], [15, 16], [17, 19, 18, 20]]
11: [[10, 6], [1, 3, 8], [14, 4], [2, 5], [7, 11, 9], [13, 12], [16, 19, 17, 15], [20, 18]]
12: [[10], [1, 3, 8], [14, 4], [2, 5, 7], [11, 13, 9], [12, 17], [19, 18], [16, 20, 6, 15]]
13: [[10, 6], [1, 3, 8, 14], [2, 5, 7, 4], [11, 13, 12, 9], [19, 18], [16, 17, 20, 15]]
14: [[10], [1, 3, 8], [14, 2, 4, 6], [5, 7, 11, 9], [13, 12, 15], [17, 18, 16, 20, 19]]
15: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 13, 9], [12, 17], [19, 16, 18, 15], [20]]
16: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 13, 12, 15, 17, 19, 16, 18, 20, 9]]
17: [[10], [1, 3, 8], [14, 2, 4, 6], [5, 7], [11, 13, 9], [12, 18, 19], [16, 17, 20, 15]]
18: [[10, 6], [1, 3, 8], [14, 2, 5, 4], [7, 9], [11, 13, 12, 15], [16, 17, 19, 18, 20]]
19: [[10, 1], [3, 8], [14, 4, 6], [2, 5], [7, 11, 9], [13, 12], [16, 17, 15], [19, 18, 20]]
20: [[10, 6], [1, 3], [8, 14, 4], [2, 5, 7], [11, 9], [13, 12, 15], [19, 17, 18, 16, 20]]
21: [[10, 6], [1, 3], [8, 14, 4], [2, 5, 7], [11, 13, 9], [12, 17, 15], [19, 16, 20, 18]]
22: [[10, 5], [1, 3, 8], [14, 2, 4, 6], [7], [11, 12, 9], [13, 19, 17], [16, 18, 20, 15]]
23: [[10, 6], [1, 3], [8, 14, 2, 4], [5, 7, 11, 9], [13, 12, 17, 19, 16, 18, 20, 15]]
24: [[10, 6], [1, 3, 8], [14, 2, 5, 4], [7, 11], [13, 12, 9, 15], [17, 19, 16, 20, 18]]
25: [[10, 6], [1, 3], [8, 14, 2, 4], [5, 7, 11, 13, 9], [12, 15], [17, 18, 16, 19, 20]]
26: [[10], [1, 3], [8, 14, 4], [2, 5], [7, 11, 9], [13, 12], [16, 19, 6, 15], [17, 18, 20]]
27: [[10, 6], [1, 3], [8, 14, 4], [2, 5], [7, 9, 11], [13, 12], [15, 16], [17, 19, 18], [20]]
28: [[10, 6], [1, 3, 8], [14, 2, 5, 4], [7, 11, 13, 12], [16, 17, 18, 19, 20, 9, 15]]
29: [[10, 6], [1, 3], [8, 14, 4], [2, 5, 7], [11, 13, 12, 9], [19], [17, 18, 16, 15], [20]]
30: [[10, 6], [1, 3, 8], [14, 4], [2, 5, 7], [11, 9], [13, 12, 18, 19], [17, 15], [16, 20]]
31: [[10, 6], [1, 3, 8], [14], [2, 5, 7, 11, 13, 12, 9, 4, 15], [17, 19, 16, 18, 20]]
32: [[10], [1, 3, 8], [14, 2, 4, 6], [5, 7], [11, 9], [13, 12, 19], [17, 16, 20, 15], [18]]
33: [[10, 6], [1, 3], [8, 14], [2, 5, 7, 4], [11, 13, 9], [12], [17, 19, 16, 15], [18, 20]]
34: [[10, 7], [3, 2, 8], [14, 5, 1, 4], [11, 9, 6], [12, 13, 15], [17, 19, 18, 16, 20]]
35: [[10, 6], [1, 3], [8, 14], [2], [5, 7, 9], [11, 13, 12], [17], [18, 19, 16, 15], [20, 4]]
36: [[10, 1], [3, 6], [14, 8, 4, 2], [5, 7, 11], [9, 13, 12, 16, 15], [17, 19, 20, 18]]
37: [[10], [1, 3, 8], [14, 4], [2, 5], [7, 13, 9, 15], [12], [11, 16, 6], [19, 17], [20, 18]]
38: [[10, 6], [1, 3], [8, 14, 4], [2, 5], [7, 11], [13, 9, 12, 15, 18], [19, 16, 17, 20]]
39: [[10, 1, 6], [3, 8], [14, 2, 5, 4], [7, 11, 13, 12, 19, 17, 15, 16, 20, 18, 9]]
40: [[10, 6], [1, 3], [8, 14], [2, 4], [5, 7, 11, 13, 12, 17, 16, 19, 18, 20, 9, 15]]
41: [[10], [1, 11, 8], [2, 3, 9, 6], [5, 7], [14], [13, 12, 19], [17, 16, 18, 15], [20, 4]]
