It No., Best MQ, No clusters, max clus, min clus
1,1.369191919191919,5,3,2
2,1.25062656641604,4,4,3
3,1.3737373737373737,4,6,2
4,1.4591332580463017,4,4,3
5,1.3680223285486444,4,4,3
6,1.46482683982684,3,6,3
7,1.375,4,4,3
8,1.2164502164502164,3,5,4
9,1.286111111111111,3,5,4
10,1.4006349206349205,3,5,4
11,1.349206349206349,3,5,4
12,1.2164502164502164,3,5,4
13,1.369191919191919,5,3,2
14,1.4103645147123407,5,3,2
15,1.4067460317460316,4,4,2
16,1.4949494949494948,4,5,2
17,1.3172161172161172,3,5,4
18,1.3106060606060606,4,4,3
19,1.2878787878787878,3,5,4
20,1.3109730848861285,3,5,4
21,1.3680223285486444,4,4,3
22,1.3269112174375333,4,4,2
23,1.4006349206349205,4,5,2
24,1.2619047619047619,3,5,3
25,1.2434017595307918,3,5,3
26,1.2083333333333333,3,5,3
27,1.4583333333333333,4,5,2
28,1.3336363636363635,5,4,2
29,1.248281130634072,4,4,3
30,1.4006349206349205,3,5,4
31,1.3063467492260061,4,4,2
