0: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3, 12], [5, 6], [8, 11, 16, 13, 14], [17, 23, 18, 22], [24, 28, 29, 10], [21, 26, 27]]
1: [[25, 20], [19, 7, 9, 2], [4, 1, 15], [3, 12, 5, 6, 8], [11, 16, 14, 13], [17, 18, 23, 22], [24, 28, 29, 10], [21, 26, 27]]
2: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3], [12, 5, 6, 8, 11], [16, 13, 10, 14], [17, 18, 22], [24, 28, 29, 23], [21, 26, 27]]
3: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3], [12, 5, 6, 8], [11, 18, 13], [14, 17, 16, 23, 22], [24, 28, 29, 10], [21, 26, 27]]
4: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3, 14, 5], [6, 8, 11], [16, 10], [13, 17, 23], [18, 22, 24, 28, 29, 12], [21, 26, 27]]
5: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3, 14, 5], [6, 8, 11], [10, 13], [18, 17, 23], [22, 16, 24, 28, 29, 12], [21, 26, 27]]
6: [[25, 20], [19, 7], [9, 2, 4, 1], [15, 3, 14], [6, 5, 8, 10], [16, 11, 13], [17, 23], [18, 22], [24, 28, 29, 12], [21, 27, 26]]
7: [[25, 20], [19, 7, 9, 2, 4], [1, 15], [3, 6, 5, 8, 14], [11, 18, 23, 12, 22], [17, 16, 13, 10], [21, 28, 24], [29, 26, 27]]
8: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 12, 5, 6], [8, 11, 18, 10], [13, 17, 23, 22], [14, 24, 28], [16, 21, 29, 27, 26]]
9: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3, 14], [5, 6], [8, 11, 17, 10, 13], [12, 16, 18, 21], [26, 24, 22, 23, 28, 27, 29]]
10: [[25, 20], [19, 7, 9, 2], [4, 1, 15], [3, 12, 5, 6, 8], [11, 18, 14, 13], [17, 16, 22], [23, 24, 28, 29], [10, 21, 26, 27]]
11: [[25, 20], [19, 7], [9, 2, 4, 1, 15, 3, 12, 5, 6, 8, 10, 17, 13, 11, 14, 24, 18, 16], [28, 23, 22, 27, 21, 26, 29]]
12: [[25, 20], [19, 7, 9, 2], [4, 1, 15], [3, 14], [5, 6], [8, 11], [10, 12, 13, 17, 23, 22, 28], [24, 16, 21, 29, 26], [27, 18]]
13: [[25, 20], [19, 7, 9], [2, 4], [1, 15, 3], [14, 5, 6], [8, 10], [17, 11, 12], [13, 23, 22, 16], [24, 28, 29], [18, 21, 27, 26]]
14: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 5, 6, 14], [8, 11], [16, 13, 17], [23, 18, 10, 12], [24, 28, 21, 22], [26, 27, 29]]
15: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3, 12, 5, 6, 8, 11, 17, 14], [10, 13, 23, 22, 16, 21, 27, 18, 24, 26, 29, 28]]
16: [[25, 20], [19, 7], [9, 2, 4, 1, 15], [3, 6, 5, 14], [8, 11, 16, 10, 23], [17, 12, 18, 13], [21, 28, 24, 22], [29, 26, 27]]
17: [[25, 20], [19, 7], [9, 2, 4], [1, 15, 3, 12], [5, 6, 8, 11], [10, 14, 13], [17, 18, 22, 24, 16], [28, 21, 29, 26, 27, 23]]
18: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3], [14, 5, 6], [8, 11, 18], [10, 13], [17, 23], [16, 22], [27, 24, 29, 12], [21, 28, 26]]
19: [[25, 20], [19, 7, 9, 2], [4, 1, 15], [3, 12, 6, 5, 8, 11, 16, 14, 10, 13, 18, 17, 23, 24, 27, 21, 22, 26, 28, 29]]
20: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3], [12, 5, 6], [8, 10], [18, 11], [14, 17], [13, 21, 16, 24], [22, 23, 28], [27, 26, 29]]
21: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3], [5, 6, 8, 12], [11, 16, 10], [13, 23, 17, 24, 28, 27, 18, 21, 26, 29, 22, 14]]
22: [[25, 20], [19, 7, 9, 2], [4, 1, 15], [3, 5, 10, 6], [8, 13, 18, 12], [11, 17], [14, 21], [16, 24], [23, 27, 28, 29], [22, 26]]
23: [[25, 20], [19, 7], [9, 2, 4, 1, 15, 3, 12, 5, 6], [8, 10, 26, 11, 13, 17], [29, 18, 16, 14], [22, 21, 23], [27, 24, 28]]
24: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3], [12, 5, 6], [8, 11, 16], [13, 10], [14, 23, 18, 17], [24, 26, 22], [27, 21, 29, 28]]
25: [[25, 20], [19, 7, 9], [2, 4, 1, 15, 3], [5, 14], [6, 8], [11, 13, 10, 12], [17, 23, 16, 22], [24, 28, 21, 29], [26, 27, 18]]
26: [[25, 20], [19, 7, 9, 2], [4, 1, 12], [15, 3], [5, 6, 14], [8, 18, 11, 13, 21, 17, 16, 29, 23, 28, 27, 24, 26, 10, 22]]
27: [[25, 20], [19, 7, 9], [2, 4, 1, 15, 3], [6, 5, 14, 8], [11, 10, 12, 13], [17, 23, 18, 22], [16, 24, 27], [26, 21, 28, 29]]
28: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3, 5, 6], [8, 11, 13, 10], [16, 17, 18], [21, 28, 24, 23, 29, 26, 27, 12, 22, 14]]
29: [[25, 20], [19, 7, 9], [2, 4, 1, 15, 3, 14], [5, 6, 8], [11, 16, 10, 13, 17, 23, 12, 22, 24, 28, 18, 21, 29, 27, 26]]
30: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 12, 5], [6, 8, 11, 10, 13, 14, 17, 18, 28, 16, 22, 21, 29, 23, 24, 27, 26]]
31: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 12, 5], [6, 8, 11, 26, 13, 14, 17, 21, 10, 18, 24, 28, 22, 29, 16, 27, 23]]
32: [[25, 20], [19, 7, 9], [2, 4, 1, 15], [3, 13], [5, 6, 11, 8, 16, 10, 14], [18, 23, 17, 12, 24, 29, 27, 21, 28, 22, 26]]
33: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3, 6, 5, 8, 11, 13, 17, 10, 14], [16, 18, 23, 21, 12, 22], [28, 27], [24, 26, 29]]
34: [[25, 20], [19, 7], [9, 2], [4, 1, 15, 3, 14, 5, 6], [8, 11, 10, 13, 12], [17, 23], [18, 22, 24, 28, 16, 27, 21, 26, 29]]
35: [[25, 20], [19, 7, 9, 2, 4], [1, 15], [3, 12, 5, 14], [8, 11, 10], [6, 13, 17, 21, 18, 16, 24, 22, 27, 26, 23, 28, 29]]
36: [[25, 20], [19, 7, 9, 2, 4], [1, 15], [3, 12, 5, 14], [8, 11, 10], [6, 13, 17, 21, 18, 16, 24, 22, 27, 26, 23, 28, 29]]
37: [[25, 20], [19, 7, 9, 2], [4, 1, 15, 3], [6, 5], [8, 13], [11, 10], [27, 17], [18, 12], [21, 28], [16, 22, 26, 24, 29], [23, 14]]
38: [[25, 20], [19, 7], [9, 2, 4, 1], [15, 3, 14], [5, 6], [8, 11, 16], [10, 12], [17, 22], [18, 13], [26, 28, 29, 21], [23, 24, 27]]
39: [[25, 20, 19, 7], [9, 2, 4, 1, 15], [3, 14], [5, 6, 8, 11], [12, 13], [10, 21, 23], [18, 16, 24, 29, 22, 17, 28], [26, 27]]
40: [[25, 20], [19, 7], [9, 2, 4, 1], [15, 3, 14], [5, 6, 8, 11, 16], [17, 23, 13, 24, 28, 18, 21, 26, 27, 29, 10, 12, 22]]
41: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3, 12, 5], [6, 8, 11, 10, 13, 14], [23, 18, 28, 21, 22, 16, 17, 29, 24, 26, 27]]
42: [[25, 20], [19, 7, 9, 2], [4, 1], [15, 3, 14, 5, 6], [8, 11, 17, 10], [13, 12, 16, 23], [21, 26, 24], [22, 18, 28, 27, 29]]
43: [[25, 20], [19, 7], [9, 2], [4, 1, 15, 3], [12, 5, 6], [8, 10], [16, 14, 13], [17, 11, 18, 21, 22, 28], [23, 26, 27], [24, 29]]
44: [[25, 20], [19, 7, 9, 2, 4, 1, 15, 3, 12, 5, 6], [8, 11, 10, 14], [13, 16, 18], [21, 22, 17], [24, 26, 28, 27, 29, 23]]
45: [[25, 20], [19, 7], [9, 2, 4, 1], [15, 3, 14, 5], [6, 8, 11], [16], [10, 12, 13, 22, 18, 21, 24, 28, 17, 29, 23, 27, 26]]
