0: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
1: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
2: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
3: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
4: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
5: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
6: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
7: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
8: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
9: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
10: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
11: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
12: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
13: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
14: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
15: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
16: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
17: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
18: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
19: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
20: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
21: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
22: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
23: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
24: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
25: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
26: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
27: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
28: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
29: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
30: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
31: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
32: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
33: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
34: [[22, 8, 15, 20, 4, 5], [13, 18, 6, 3, 16, 1], [11, 2, 7, 14, 10, 12], [21, 9, 17, 19, 24, 23]]
