0: [[1, 3], [2, 5, 7, 10, 8], [13, 11, 12, 9], [14, 15, 16, 4, 6], [17, 19, 18, 20]]
1: [[1, 3], [2, 5, 7, 10, 8], [13, 11, 12, 9], [14, 15, 16, 4, 6], [17, 19, 18, 20]]
2: [[1, 3], [2, 5, 7, 10, 8], [13, 11, 12, 9], [14, 4, 6], [15, 16, 17, 19, 18, 20]]
3: [[1, 3], [2, 5, 7], [10, 8], [13, 11, 12], [14, 4, 15], [16, 9, 6], [17, 19, 18, 20]]
4: [[1, 3], [2, 5, 7], [10, 8], [13, 11, 12], [14, 4, 15], [16, 9, 6], [17, 19, 18, 20]]
5: [[1, 3], [2, 5, 7, 10, 8], [13, 11, 12, 9], [14, 15, 16, 19, 17, 18, 20, 4, 6]]
6: [[1, 3], [2, 5, 7, 10, 8], [13, 11, 12, 9], [14, 15, 16, 19, 17, 18, 20, 4, 6]]
7: [[1, 3], [2, 5, 7, 10], [8, 13, 11, 12, 9], [15, 14, 4, 6], [16, 17, 19, 18, 20]]
8: [[1, 3], [2, 5, 7], [10, 8], [13, 11, 12], [14, 4], [16, 19, 9, 6, 15], [17, 18, 20]]
9: [[1, 3], [2, 5, 7, 10], [8, 13, 11, 12], [14, 15, 9, 4, 6], [16, 17, 19, 18, 20]]
10: [[1, 3], [2, 5, 7, 10], [8, 13, 11, 12], [14, 9, 6], [16, 17, 4, 15], [19, 18, 20]]
11: [[1, 3, 2], [5, 7], [10, 8], [13, 11, 12], [14, 9, 4, 6], [16, 19, 15], [17, 18, 20]]
12: [[1, 3], [2, 5, 7, 10], [8, 13, 11, 12, 15], [14, 16, 9, 4, 6], [19, 17, 18, 20]]
13: [[1, 3], [2, 5, 7], [10, 8, 13], [11, 12], [14, 4], [16, 19, 9, 6, 15], [17, 18, 20]]
14: [[1, 3], [5, 7, 2], [10, 8, 13], [11, 12, 14, 4], [15, 16, 9, 6], [19, 17, 18, 20]]
15: [[1, 3], [2, 5, 4], [10, 8, 13], [11, 12], [7, 9], [14, 16, 19, 6, 15], [17, 18, 20]]
16: [[1, 3], [2, 5, 7], [10, 8, 13], [11, 12], [14, 4, 6], [16, 19, 17, 9, 15], [18, 20]]
17: [[1, 3], [2, 5, 4], [10, 8], [13, 11, 12], [7, 14, 6], [19, 9], [16, 17, 18, 20, 15]]
18: [[1, 3, 2], [5, 7, 10], [8, 13, 11, 12], [15, 14, 9, 4, 6], [16, 19, 17, 18, 20]]
19: [[1, 3], [2, 5, 7], [10, 8, 13, 11, 12], [14, 9, 4, 6], [15, 16, 19, 17, 18, 20]]
20: [[1, 3, 2], [5, 7, 10], [8, 13], [11, 12, 14, 9], [16, 4, 6, 15], [17, 19, 18, 20]]
21: [[1, 3, 2], [5, 7], [10, 8, 13], [11, 12, 9], [14, 16, 4, 6, 15], [17, 19], [18, 20]]
22: [[1, 3, 2], [5, 7], [10, 8, 13], [11, 12, 14, 9], [16, 4, 6, 15], [19, 17, 18, 20]]
23: [[1, 3], [5, 7, 2], [10], [8, 13, 11, 12], [14, 9, 4, 6], [15, 16, 17, 19, 18, 20]]
24: [[1, 3], [2, 5, 7], [10, 8, 13], [11, 12, 4], [14, 15], [16, 9, 6], [17, 19, 18, 20]]
25: [[1, 3, 2, 5], [10, 8], [13, 11, 9], [12, 14, 15], [7, 16, 4, 6], [17, 19, 18, 20]]
26: [[1, 3], [2, 5, 7, 10], [8, 13, 11], [12, 14, 4, 15], [16, 6], [19, 17, 18, 20, 9]]
27: [[1, 3, 2], [5, 7], [10, 8, 13], [11, 12, 4], [14, 6, 9], [15, 16], [19, 17, 18, 20]]
28: [[1, 3], [2, 5, 7], [10, 8, 13, 11], [12], [14, 16, 4, 6, 15], [19, 17, 18, 20, 9]]
29: [[1, 3, 2], [5, 7, 10], [8, 13], [11, 12], [14, 9, 6], [16, 19, 4, 15], [17, 18, 20]]
30: [[1, 3], [2, 5], [7, 10, 8], [13, 11, 12, 4], [15, 14, 16, 17, 19, 18, 20, 9, 6]]
31: [[1, 3, 2], [5, 7, 10], [8, 13, 11], [12, 4], [14, 15, 16, 9, 6], [17, 19, 18, 20]]
32: [[1, 3, 2], [5, 7, 10], [8, 13, 11, 12], [14, 15, 4], [16, 17, 19, 18, 20, 9, 6]]
33: [[1, 3], [2, 5, 7, 10], [8, 13, 11, 12, 9, 6, 4, 14, 15, 16, 19, 17, 18, 20]]
34: [[1, 3], [2, 5, 7, 10], [8, 13, 11, 12, 4, 14, 6, 9, 15, 16, 19, 17, 18, 20]]
35: [[1, 3], [2, 5, 7, 10], [8, 13, 11], [12, 14, 15, 9], [16, 17, 19, 18, 20, 4, 6]]
36: [[1, 3], [2], [5, 7, 10], [8, 13], [11, 12, 18], [14, 19, 16, 9, 4, 6, 15], [17, 20]]
37: [[1, 3, 2, 5], [7, 10, 8], [13, 11, 12, 6, 14, 15, 4, 9, 16, 19, 17, 18, 20]]
38: [[1, 3, 2, 5, 7], [10, 8, 13, 11, 12], [9, 14, 15, 4, 6, 16, 17, 19, 18, 20]]
39: [[1, 3], [2, 5], [14, 8, 13, 4], [11, 12, 7], [6, 17, 16, 10, 19, 18, 20, 9, 15]]
40: [[1, 3], [2, 5, 6], [10, 8, 13, 11], [12, 7, 14, 15, 16, 19, 17, 18, 20, 9, 4]]
41: [[1, 3, 2, 5], [6, 10, 8, 13], [11, 12, 4, 7, 15, 9, 14, 16, 17, 19, 18, 20]]
