0: [[35, 24, 2], [37, 3, 23, 12, 29], [5, 30, 18], [1, 15, 9, 6, 10], [4], [7, 8], [13, 11, 21], [14, 16, 17], [28, 22], [19, 27, 25], [26, 20, 31, 33, 32], [44, 36], [38], [34, 40, 41], [39, 51, 43, 42, 45, 47, 52], [54, 46, 50, 53], [60], [49, 55, 57], [58, 59], [48], [56]]
1: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 31, 10, 6, 21, 17, 13, 28, 15, 19, 16, 26, 29], [22, 18, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
2: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 15, 6, 18, 21, 17, 31, 10, 16, 13, 19, 26, 28], [22, 23, 29, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
3: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 15, 13, 6, 10, 18, 16, 19, 17, 21, 26, 28, 31], [22, 29, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
4: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 6, 10, 15, 21, 17, 13, 19, 16, 18, 31, 26, 28], [22, 29, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
5: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 6, 10, 13, 31, 17, 15, 21, 16, 18, 19, 28, 26], [22, 29, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
6: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 6, 10, 13, 21, 17, 15, 19, 16, 18, 31, 26, 28], [22, 29, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
7: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 13, 19, 31, 16, 15, 17, 26, 18, 28, 10, 21, 6], [22, 23, 29, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
8: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 6, 10, 19, 18, 13, 15, 16, 31, 17, 26, 21, 28], [22, 23, 29, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
9: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 6, 10, 13, 21, 17, 15, 19, 16, 18, 31, 26, 28], [22, 29, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
10: [[35, 27, 11, 33, 7, 20, 2, 1, 3, 14, 9, 12, 4, 25, 24], [8, 30, 5, 6, 10, 15, 21, 18, 13, 19, 17, 16, 31, 26, 28], [22, 29, 23, 38, 32, 40, 34, 36, 37, 43, 39, 41, 45, 42, 44], [46, 47, 55, 48, 50, 53, 51, 49, 57, 52, 56, 54, 59, 58, 60]]
