0: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12], [13, 28, 16, 24, 18, 22, 23, 17, 14], [15, 25, 29, 20, 21, 27, 26]]
1: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10], [12, 13, 14, 15, 20, 18, 23, 22, 16, 17], [25, 28, 29, 24, 27, 26, 21]]
2: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 14, 12], [15, 10, 18, 16, 13, 22, 23, 17, 20], [26, 24, 21, 25, 27, 28, 29]]
3: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12], [15, 13, 14, 16, 21, 22, 18, 17, 23], [20, 24, 25, 26, 27, 28, 29]]
4: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12], [13, 14, 15, 20, 16, 22, 17, 18, 21], [23, 24, 29, 25, 27, 26, 28]]
5: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 29], [13, 12, 18, 25, 20, 15, 22, 16, 14], [27, 21, 28, 24, 17, 23, 26]]
6: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12, 13], [22, 14, 15, 26, 20, 16, 17, 23], [18, 25, 21, 24, 27, 29, 28]]
7: [[19, 7, 9, 1, 2, 3, 5, 4, 6, 8], [11, 10, 12, 13, 14, 15, 20], [18, 23, 22, 16, 17], [25, 28, 29, 24, 27, 26, 21]]
8: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 14, 10], [15, 12, 13, 16, 22, 17, 18, 20, 21], [23, 25, 24, 27, 26, 28, 29]]
9: [[19, 7, 9, 1, 2, 3, 5, 4, 6, 8], [11, 14, 12, 13, 10, 15, 18], [23, 17, 22, 20, 16], [25, 21, 28, 26, 24, 27, 29]]
10: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 12, 14, 10], [15, 13, 16, 17, 20, 22, 18, 21], [23, 29, 24, 26, 27, 25, 28]]
11: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 13], [12, 25, 16, 14, 18, 23, 20, 22, 15], [21, 24, 17, 27, 28, 26, 29]]
12: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 13, 12, 14], [15, 16, 18, 21, 22, 26, 17, 10], [27, 29, 24, 25, 20, 23, 28]]
13: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 12, 14, 10, 15], [13, 16, 17, 21, 18, 22, 20], [23, 29, 24, 27, 25, 26, 28]]
14: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 12, 14, 10, 15], [13, 16, 17, 21, 18, 22, 20], [23, 29, 24, 27, 25, 26, 28]]
15: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 12, 14, 10, 15], [13, 16, 17, 21, 18, 22, 20], [23, 29, 24, 27, 25, 26, 28]]
16: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 14, 12, 13], [10, 17, 16, 18, 22, 20, 23, 15], [24, 29, 28, 25, 21, 27, 26]]
17: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12, 15], [13, 14, 16, 22, 17, 18, 27, 25], [20, 29, 28, 21, 23, 24, 26]]
18: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 12, 15, 13, 14, 16], [22, 18, 23, 25, 17], [20, 28, 21, 26, 24, 29, 27]]
19: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 15, 10, 12, 11], [13, 20, 16, 18, 22, 26, 24, 14], [23, 17, 28, 21, 25, 29, 27]]
20: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 13, 28], [12, 10, 17, 26, 20, 14, 23, 16, 22], [18, 21, 15, 24, 27, 25, 29]]
21: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 28], [13, 14, 15, 12, 23, 20, 17, 18, 16], [27, 21, 26, 24, 22, 25, 29]]
22: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 14, 12, 13], [24, 20, 10, 15, 17, 22, 18, 16], [21, 23, 26, 25, 27, 28, 29]]
23: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 12, 13], [28, 21, 22, 14, 15, 17, 16, 18], [27, 20, 23, 24, 25, 26, 29]]
24: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 15, 28], [13, 10, 17, 26, 22, 14, 23, 16, 12], [18, 20, 21, 24, 27, 25, 29]]
25: [[19, 7, 9, 1, 2, 3, 5], [4, 6, 8, 11, 15, 14, 13, 10, 12, 18], [23, 21, 22, 17, 16], [27, 25, 24, 28, 20, 26, 29]]
26: [[19, 7, 9, 1, 2, 3, 5], [4, 6, 8, 11, 15, 14, 13, 10, 12, 18], [23, 21, 22, 17, 16], [27, 25, 24, 28, 20, 26, 29]]
27: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 10, 26], [13, 15, 14, 18, 16, 20, 17, 22, 23], [12, 25, 28, 21, 24, 27, 29]]
28: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 10, 12, 13, 14, 29, 22], [18, 20, 15, 16, 17], [26, 24, 21, 25, 27, 23, 28]]
29: [[19, 7, 9, 1, 2, 3, 5, 4, 6, 8], [11, 12, 14, 10, 29], [15, 13, 17, 20, 16, 22, 23], [21, 24, 26, 25, 27, 18, 28]]
30: [[19, 7, 9, 1, 2], [3, 5, 4, 6, 8, 11, 14, 28], [13, 24, 17, 26, 16, 10, 23, 12, 15], [18, 21, 20, 22, 25, 27, 29]]
31: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 28, 13, 29, 12, 24], [18, 22, 21, 17, 23], [14, 15, 16, 20, 25, 26, 27]]
32: [[19, 7, 9], [1, 2, 3, 5, 4, 6, 8, 11, 12, 14], [13, 28, 18, 15, 21, 16, 26, 17, 10], [23, 29, 24, 20, 27, 22, 25]]
33: [[19, 7, 9, 1, 2, 3, 5, 4], [6, 8, 11, 10, 12], [14, 13, 17, 16, 18, 23, 22, 27, 15], [20, 24, 21, 26, 28, 25, 29]]
34: [[19, 7, 9, 1, 2, 3, 5, 4, 6], [8, 11, 10, 12, 13, 14, 18, 23], [16, 22, 25, 17, 15], [26, 20, 24, 21, 28, 27, 29]]
35: [[19, 7, 9, 1, 2, 3, 5], [4, 6, 8, 11, 10], [12, 13, 28, 15, 14, 18, 20, 22, 16, 17], [27, 21, 25, 24, 23, 26, 29]]
36: [[19, 7, 9, 1, 2, 3, 5, 4, 6, 8], [11, 10, 12, 13, 14, 15, 20], [18, 21, 22, 16, 17], [27, 24, 23, 25, 26, 28, 29]]
37: [[19, 7, 9, 1, 2, 3, 5, 4, 6, 12], [8, 11, 13, 15, 16, 10, 14], [17, 20, 22, 18, 21], [27, 29, 24, 26, 23, 25, 28]]
