0: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
1: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
2: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
3: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
4: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
5: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
6: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
7: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
8: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
9: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
10: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
11: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
12: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
13: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
14: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
15: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
16: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
17: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
18: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
19: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
20: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
21: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
22: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
23: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
24: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
25: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
26: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
27: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
28: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
29: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
30: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
31: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
32: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
33: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
34: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
35: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
36: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
37: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
38: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
39: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
40: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
41: [[19, 16, 15], [10, 5, 7], [3, 1], [2, 14, 6, 4], [12, 8, 11, 13, 9], [17, 20, 18]]
