0: [[35, 34, 7, 2], [5, 1], [19, 20, 4, 11, 3, 12], [13, 8, 9, 21, 6], [29, 15, 30, 17, 16, 24, 23, 31, 10], [22, 27, 25, 26, 14, 44], [36, 55, 56, 37, 46], [33, 38, 40, 28, 32, 43, 41, 39, 18], [42, 45, 60, 47, 48], [51, 50, 53, 54, 52, 58, 59], [57, 49]]
1: [[35, 34, 7, 2], [5, 1], [19, 20, 4, 11, 3, 12], [13, 8, 9, 21, 6], [29, 15, 30, 17, 16, 24, 23, 31, 10], [22, 27, 25, 26, 14, 44], [36, 55, 56, 37, 46], [33, 38, 40, 28, 32, 43, 41, 39, 18], [42, 45, 60, 47, 48], [51, 50, 53, 54, 52, 58, 59], [57, 49]]
2: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 9, 10], [8, 13, 24, 15, 29, 16, 26, 27, 17, 6, 14, 22, 18, 21, 23, 28, 25, 31, 37, 33, 30, 56, 46, 50, 32, 40, 38, 47, 42, 36, 51, 52, 39, 41, 44, 45, 43, 53, 48, 58], [49, 54, 55, 59, 60, 57]]
3: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11, 4, 12], [10, 6, 25, 8, 15], [14, 24, 22], [9, 13, 17, 23, 31, 18, 21, 27, 26, 30, 28, 16, 60, 29, 37, 40], [43, 33, 32, 41, 45], [36, 38], [39, 44, 56], [42, 59, 58, 48, 52, 50, 46, 47, 53, 51], [55, 57, 49, 54]]
4: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 9, 8, 10], [13, 25, 31, 21, 6], [16, 15, 17, 26, 14, 23, 24, 22, 27, 28, 30, 29, 36, 33, 37, 41, 32, 42, 44, 40, 39, 43, 46, 47, 57, 48, 50, 52, 59, 38, 49, 53, 54, 58, 45, 60, 55, 51, 56, 18]]
5: [[35, 34, 7, 2], [5, 1], [19, 20, 3, 11], [4, 12, 10, 8, 26, 6, 14, 13, 17, 21, 18, 9, 22, 27, 28, 15], [29, 16, 23, 30, 24, 25, 31, 44, 41, 32, 36, 37, 33, 38, 42, 46, 43], [39, 40, 50, 45], [47, 52, 48, 49, 53, 54, 55, 51, 57, 58, 56, 59, 60]]
6: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12], [6, 9, 8, 28, 10, 13, 14, 31, 17, 16, 24, 22, 15, 18, 23, 26, 27, 29, 21, 36, 30, 37, 25, 45, 44, 32, 43, 40], [47, 33, 46, 42, 41, 38, 52], [39, 51, 54, 50, 48], [49, 53, 56, 57, 58, 59, 60, 55]]
7: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12], [6, 9, 8, 28, 10, 13, 14, 31, 17, 16, 24, 22, 15, 18, 23, 26, 27, 29, 21, 36, 30, 37, 25, 45, 44, 32, 43, 40], [47, 33, 46, 42, 41, 38, 52], [39, 51, 54, 50, 48], [49, 53, 56, 57, 58, 59, 60, 55]]
8: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12], [6, 9, 8, 28, 10, 13, 14, 31, 17, 16, 24, 22, 15, 18, 23, 26, 27, 29, 21, 36, 30, 37, 25, 45, 44, 32, 43, 40], [47, 33, 46, 42, 41, 38, 52], [39, 51, 54, 50, 48], [49, 53, 56, 57, 58, 59, 60, 55]]
9: [[35, 34, 7, 2, 5, 1], [19, 20, 3, 11], [4, 12], [6, 9, 8, 28, 10, 13, 14, 31, 17, 16, 24, 22, 15, 18, 23, 26, 27, 29, 21, 36, 30, 37, 25, 45, 44, 32, 43, 40], [47, 33, 46, 42, 41, 38, 52], [39, 51, 54, 50, 48], [49, 53, 56, 57, 58, 59, 60, 55]]
10: [[35, 34, 7, 2], [5, 1], [19, 20, 3], [11, 4, 12, 10, 6, 24, 29, 9, 30, 8, 26, 13, 14, 15, 16, 27, 18, 21, 17, 22, 23, 25, 28, 31, 37, 39, 41, 33, 36, 32, 42, 40, 38, 44, 45], [46, 56, 47, 43, 53, 48, 52, 54, 49, 60, 51, 50, 55, 58, 57, 59]]
